LAKE-VYRNWY-HEN-GERRIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SH968188,Long,-3.5306335,Lat,52.756919,Elevation,1230,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,4256/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,3.4,,10,14,13,8,13,8.3,23.7,,5.45,8.95,11.85,3,7.8,6.15,10.8,,7.8,9.4,11.95
February,,,,,,,,,,5.6,7.75,2,7,5,14,15,2.8,10.6,5.35,15.25,10,,4.2,7.6,,1.5,7.4,11.94,1.32,
March,,,,,,,,,,6,6,5,4,1,4.5,3.16,12,5.4,2.95,5.8,8.8,5.55,6.8,7.6,4.5,3.8,8.5,2.4,4.65,2.99
April,,,,,,,,,,6,3,4.5,4,3,4.5,1.95,7.3,4.4,9.15,7.45,6.95,4.1,5.09,2.6,5.2,2.15,0.55,2.55,6.25,5.5
May,,,,,,,,,,3,6,7,7,4.5,6,2.6,4.25,3.6,6.2,2.35,3.75,3.7,3.65,5.85,9.15,2.1,3.6,7.88,1.8,2.82
June,,,,,,,,,,0.75,1,0.5,9,4.5,8,8.15,4.65,8.95,1.85,3.2,3.1,3.8,3.55,5.4,7.65,6.4,2.15,4.64,4.3,3.7
July,,,,,,,,,,5,3,7,6,6,4,3.9,4.4,4.25,2.95,8.2,3.45,3.15,9.5,9.1,1.15,9.8,11.72,6.04,6.25,8.04
August,,,,,,,,,4,1.5,9,7,9.5,4,6,9.8,0.58,11.15,4.2,11.25,8.85,6.4,7,6.6,2.05,,9.43,7.05,1.26,7.25
September,,,,,,,,,1,6.5,2,6,8,9,6,11,4.15,6.55,2.7,16.6,7.15,5.2,9.05,11,3.4,6.7,11.67,12.37,0.6,6.05
October,,,,,,,,,4,11,11,10,7.5,12,10,2.95,1.98,4.6,11.35,6.7,2.6,13.5,3.2,19.05,4.7,5.1,8.56,5.4,10.15,7.95
November,,,,,,,,,15.5,18,5,1,7,14,0.75,13.15,13.45,6.45,10.65,8.75,15.45,5.5,10.9,14.6,4,3.7,,3.38,7.6,17.5
December,,,,,,,,,7,7.5,7,8,5,10,9,9.55,9.45,9.06,15.85,6.73,16.2,7.85,3.22,11.6,10.65,9.6,7.6,7.15,17.1,11.4
Total,,,,,,,,,,74.25,,68,88,86,80.75,94.21,73.31,98.71,,97.73,95.25,,69.16,108.8,,,,78.6,70.68,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 9748 HEN GERRIG Start 1939 end 1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950s records and is close the Hen Gerrig at the right altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/Mar 1947 and Jan 1949 estimated or corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1953 has a note ""1953 eng agrees adj"" but it is not apparent what has been adjusted; readings left in this record",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
