HULL - 5 BAKER STREET,,,,,,,,,
Grid ref,TA094291,Long,-0.343,Lat,53.747,Elevation,10,ft,
Station no,RR2009,,,,,,,,
,,,,,,,,,
,1864,1865,1866,1867,1868,1869,1870,1871,1872
January,1.00,1.50,1.40,2.50,2.20,2.60,1.15,0.88,3.15
February,2.10,1.65,1.70,1.00,1.39,1.34,1.80,1.73,2.28
March,1.59,1.58,1.70,1.78,1.80,2.10,2.16,0.83,2.28
April,1.00,0.63,0.51,2.24,2.00,1.91,0.75,3.17,2.61
May,1.30,2.70,1.30,1.63,1.70,4.56,0.64,1.16,1.53
June,1.32,1.16,3.25,1.40,1.10,1.40,3.11,2.95,2.18
July,0.60,2.36,2.70,2.48,0.90,0.54,0.80,2.67,5.00
August,1.25,4.14,3.10,2.15,2.10,2.20,1.96,1.04,3.30
September,2.30,0.41,4.59,1.90,1.54,2.74,1.20,3.85,3.40
October,1.70,4.33,2.10,1.29,2.68,1.83,,1.14,3.06
November,2.00,2.29,2.18,1.48,1.50,2.40,1.54,2.06,4.30
December,2.37,0.74,1.26,2.38,6.43,3.55,3.70,1.59,4.98
Total,18.53,23.49,25.79,22.23,25.34,27.17,,23.07,38.07
,,,,,,,,,
TYRain_1860-1869_05_pt1/153,,,,,,,,,
TYRain_1870-1879_08_pt2/008,,,,,,,,,
,,,,,,,,,
"# The October 1870 reading is taken from the Hull Manor House Street site, and has been omitted.",,,,,,,,,
