KENSINGTON-VICTORIA-AND-ALBERT-MUSEUM-OLD-GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ270791,Long,-0.17187768,Lat,51.496584,Elevation,27,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,0.86,2.52,1.76,0.51,1.58,3.33,1.42,0.8,1.82,0.79,2.62,2.65,0.68,0.84,2.13,2.26,1.08,,,,
February,,,,,,,,,,1.69,1.02,0.06,1.37,2.85,1.98,0.3,0.31,2.59,1.37,1.97,3.54,0.99,1.01,1.06,3.13,0.77,,,,
March,,,,,,,,,,1.45,1.69,1.68,1.08,0.49,1.29,1.33,3.21,3.33,1.33,0.42,0.97,2.11,1.67,2.64,1.73,3.39,,,,
April,,,,,,,,,,1.81,2.16,1.04,1.06,0.16,1.63,1.81,0.65,2.05,1.12,2.61,0.94,1.82,0.48,2.11,1.08,1.53,,,,
May,,,,,,,,,,3.88,1.29,2.67,1.62,0.75,1.9,0.54,0.2,1.16,2.46,1.29,1.17,0.61,2.43,3.47,1.75,1.16,,,,
June,,,,,,,,,,2.61,2.42,1.19,2.6,0.86,2.03,0.3,1.95,2.2,1.19,0.6,2.34,0.61,3.66,7.13,1.09,4.74,,,,
July,,,,,,,,,,2.48,4.73,3.84,1.59,2.67,2.98,3.69,1.42,0.67,1.01,2.05,0.98,3.38,1.46,5.74,2.11,0.77,,,,
August,,,,,,,,,,2.76,1.69,4.35,2.99,1.8,3.05,3.63,1.54,2.41,1.2,0.24,2.31,1.53,2.34,5.17,0.73,2.67,,,,
September,,,,,,,,,,1.48,0.7,1.58,2.3,1.2,1.1,1.74,6.2,3.42,0.38,2.98,0.99,2.01,1.44,2.81,1.61,1.51,,,,
October,,,,,,,,,,3.68,1.16,5.05,3.95,4.51,4.37,3.25,3.02,0.62,3.05,2.07,1.88,2.46,1.67,6.2,1.64,1.05,,,,
November,,,,,,,,,,0.85,1.61,1.96,2.69,2.14,2.84,3.23,0.78,1.08,2.14,3.81,1.77,0.6,1.65,2.47,1.59,2.93,,,,
December,,,,,,,,,,1.24,0.08,3.21,1.33,2.47,2.24,2.31,3.52,2.09,2.41,1.11,2.54,3.13,1.79,1.44,1.88,0.61,,,,
Total,,,,,,,,,,24.79,21.07,28.39,23.09,21.48,28.74,23.55,23.6,23.44,18.45,21.77,22.08,19.93,20.44,42.37,20.6,22.21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is the east side of the V&A museum as described in the relationship to church and Brompton Road. Gauge moved 100 yards NW in 1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
