HOPE-KILLHILL-BRIDGE-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SK172834,Long,-1.7430984,Lat,53.347216,Elevation,545,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.27,2.01,2.94,2.41,4.25,2.02,5.55,5.03,3.09,,,,,
February,,,,,,,4.39,2.96,4.23,2.48,4.79,4.09,1.9,1.65,2.9,,,,,
March,,,,,,,4.04,4.53,4.48,4.94,1.17,2,4.71,5.27,5.07,,,,,
April,,,,,,,1.93,2.53,2.74,2.43,3.95,2.64,1.23,4.17,1.94,,,,,
May,,,,,,,2.72,4.09,3.54,2.61,2.96,0.99,3.34,2.46,2.46,,,,,
June,,,,,,,1.43,6.13,2.32,3.9,2.41,2.49,3.91,2.09,3.34,,,,,
July,,,,,,,2.59,2.54,3.43,3.86,4.32,0.33,5.5,1.09,4.61,,,,,
August,,,,,,,3.28,3.74,3.57,1.79,4.6,2.02,7.13,1.83,1.71,,,,,
September,,,,,,,1.19,0.61,2.75,2.65,0.33,2.31,2.3,2.2,2.94,,,,,
October,,,,,,,6.17,6.17,1.32,4.72,2.62,3.14,3.78,3.67,3.12,,,,,
November,,,,,,,5,3.88,3.42,1.68,5.92,4.75,3.09,4.43,6.11,,,,,
December,,,,,,,4.76,3.71,2.84,8.9,6.96,8.32,6.84,3.58,8.32,,,,,
Total,,,,,,,43.77,42.9,37.58,42.37,44.28,35.1,49.28,37.47,45.61,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the school in Hope. Altitudes match. The gauge is numbered 56 and although not stated on the record No 56 moves 500m or so N to be SW of the bridge. The named observers are the same for the school and bridge site at the time of the move.,,,,,,,,,,,,,,,,,,,,
