CHELTENHAM-PORTLAND-STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,SO951227,Long,-2.0726266,Lat,51.902819,Elevation,203,ft,,,,,,,,,,,,
Station no,2177/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,4.83,1.75,1.9,3.25,4.9,1.75,,,,,,
February,,,,,,,,,1.05,2.56,2.03,0.5,1.5,0.93,,,,,,
March,,,,,,,,,1.82,2.68,2.49,1.9,0.91,0.37,,,,,,
April,,,,,,,,,3.04,1.61,1.02,1.23,0.94,0.91,,,,,,
May,,,,,,,,,0.84,1.48,1.7,3.22,2.53,0.61,,,,,,
June,,,,,,,,,1.96,0.36,1.31,0.23,2.15,,,,,,,
July,,,,,,,,,5.24,2.96,3,1.88,0.65,,,,,,,
August,,,,,,,,,2.64,0.07,3.93,4.31,1.79,,,,,,,
September,,,,,,,,,0.83,0.94,0.66,1.64,1.62,,,,,,,
October,,,,,,,,,3,2.77,2.2,2.62,1.92,,,,,,,
November,,,,,,,,,4.22,5.74,2.58,1.56,1.38,,,,,,,
December,,,,,,,,,2.21,0.98,1.97,3.28,1.12,,,,,,,
Total,,,,,,,,,31.68,23.9,24.79,25.62,21.41,,,,,,,
