BIDEFORD GAMMATON RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS482253,Long,-4.165074,Lat,51.007001,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.54,1.95,4.69,3.29,2.1,2.47,3.38,3.87,1.39,2.13,1.09,8.37,5.54,2.62,2.93,4.82,4.94,1.88,6.91,1.76,1.84,2.32,3.72,1.72,3.91,5.88,1.73,3.98,,,,,,,,2.02,3.28,,4.38,4.11,4.66,1.31,5.46,3.1,4.14,2.9,3.78,0.79,4.68,5.1,4.67,6.12,3.29,4.12,4.17,6.51,2.27,3.13,3.8,4.76,7.1,1.39,1.27,5.01,3.48,0.98,1.98,6.39,4.55,2.69,3.59,4.88,4.13,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.1,3.2,1.12,0.07,2.39,4.62,2.69,0.26,0.89,5.82,1.87,3.94,4.97,1.53,1.68,2.8,5.47,1.44,5,1.87,2.18,0.36,5.6,1.99,2.45,1.76,4.14,6.32,,,,,,,,6,0.67,,1.81,1.44,2.86,0.96,1.25,2.47,0.02,3.15,0.32,3.24,2.56,8.48,1.07,1.6,4.02,4.2,0.23,2.31,0.58,3.16,2.75,0.5,1.53,1.61,5.61,4.44,1.44,1.86,4.07,3.33,0.58,5.46,4.35,0.26,3.35,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,3.94,3.26,1.58,1.23,0.89,0.99,3.45,3.24,3.4,4.58,1.14,1.31,1.23,2.22,2.93,5.87,1.42,5.32,1.89,1.23,3.64,5.47,0.45,2.06,5.83,5.25,5.45,0.8,,,,,,,,1.59,1.28,,0.27,1.82,2.81,0.32,2.02,1.67,1.74,2.95,2.6,1.36,2.54,3.65,0.25,1.54,2.48,2.71,2.62,1.26,0.2,1.39,0.95,6.9,1.51,1.99,1.63,4.14,3.11,1.11,3.43,1.37,0.86,3.57,0.76,3.84,1.85,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,0.95,1.27,2.99,1.77,2,0.33,1.97,1.81,1.04,4.49,1.7,2.84,0.88,3.76,1.58,2.32,1.67,2.37,1.35,4.65,2.26,2.42,2.38,2.08,0.09,4.98,1.73,1.39,,,,,,,,1.98,2.1,,1.67,1.8,1.38,0.48,1.81,2.78,1.9,1.68,2.51,4.03,2.4,3.06,0.13,2.03,2.98,0.82,1.72,0.65,2.33,1.01,2.21,2.87,2.15,2.31,1.84,2.35,3.76,2.39,0.37,1.64,2.03,0.2,0.91,2.33,3.19,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.56,2.84,2.52,3.7,1.68,2.01,3.51,0.5,0.2,1.3,4.27,3.75,1.69,1.18,1.72,3.41,2.93,0.52,3.18,2.73,1.74,1.34,1.67,1.1,1.77,3.02,1.37,2.69,,,,,,,,1.79,3.49,,0.75,0.82,0.85,2.6,1.45,3.74,2.94,2.57,1.59,1.65,0.76,1.94,2.01,1.02,1.28,1.84,5.08,3.76,0.77,3.9,3.86,2.85,2.85,2.09,1.76,2.88,2.92,3.75,2.59,3.7,1,2.77,3.39,1.23,1.62,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.73,1.23,2.65,2.03,2.04,0.83,2.07,1.37,1.36,2.12,2.43,1.15,2.71,3.09,4.35,1.29,1.43,3.55,1.8,3.25,1.66,0.92,2.75,2.8,8.8,2.12,1.99,1.17,,,,,,,,0.62,1.54,,1.27,2.23,2.5,2.08,0.56,3.58,1.19,1.22,1.93,2.8,2.06,1.11,1.73,1.4,0.62,1.14,0.29,1.66,2.83,3.09,3.61,3.64,2.19,0.36,1.79,1.06,1.88,1.43,3.22,3.59,2.03,1.93,3.09,1.13,1.05,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,4.54,3.53,3.18,3.27,4.93,7.03,3.68,4.42,1.5,2.93,0.72,1.51,0.66,2.13,2.68,3.46,4.13,1.9,1.01,2.04,1.91,1.75,3.23,0.43,4.43,0.51,4.96,3.92,,,,,,,,4.1,3.72,,1.27,3.13,1.49,3.12,4.16,4.89,3.08,2.11,0.34,0.52,7.33,1.96,2.85,4.9,4.19,1.5,2.96,2.05,2.47,4.15,2.76,2.09,1.98,2.48,3.28,2.28,1.19,5.44,3.75,1.35,4.27,2.98,3.35,2.08,4.79,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,3.36,2.87,4.05,6.52,4.49,2.43,3.57,4.07,1.78,4.39,3.15,1.95,3.03,1.95,2.53,4.55,2.87,5.02,2.68,2.56,3.61,1.41,4.12,2.95,8.66,1.39,4.85,1.93,,,,,,,,2.57,3.37,,1.82,4.36,2.35,3.34,3.19,4.52,1.64,1.46,4.69,2.97,0.4,1.29,6.07,3.65,0.19,4.63,2.86,2.76,3.31,1.85,5.46,0.59,4.07,1.94,6.93,4.58,6.95,3.04,3.17,0.32,3.39,3.42,4.35,1.93,4.67,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,1.29,1.39,1.43,3.47,4.32,2.96,2.09,0.79,7.23,6.21,1.4,3.57,1.48,4.61,3.13,5.05,3,2.25,1.03,0.78,2.12,2.9,0.17,3.12,1.02,1.99,2.55,1.21,,,,,,,,2.32,4.17,,0.9,6.65,0.87,0.72,4.32,1.73,4.39,1.77,3.2,4.46,2.54,3.36,0.82,0.59,1.51,0.37,3.4,6.51,3.61,1.86,4.71,1.81,2.26,3.02,5.9,2.93,3.84,3.82,4.02,1.78,5.42,4.61,4.92,0.2,5.51,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,1.71,5.12,2.55,7.87,6.46,5.5,5.95,6.64,3.84,1.64,8.42,4.47,4.89,4.01,3.99,12.12,3.06,3.22,6.27,6.46,1.16,6.44,5.5,4.35,5.4,4.74,3.45,3.92,,,,,,,,4.41,3.88,,2.45,2.2,6.52,7.6,3.84,1.04,9.25,5.39,3.15,6.25,1.41,2.65,5.77,3.9,3.67,2.19,3.26,4.01,5.66,4.3,1.89,1.6,4.62,8.44,1.31,2.01,5.31,2.81,4.82,3.08,2.29,4.04,4.38,4.81,7.88,,,,,,,,,,,,,,,,,,,,,,,
