LOCH O' THE LOWES (QUAVEBURN COTTAGE),,,,,,,,,,
Grid ref,NT228181,Long,-3.222112,Lat,55.450649,Elevation,845,ft,,
Station no,5061/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,4.85
August,,,,,,,,,,5.02
September,,,,,,,,,,4.56
October,,,,,,,,,,4.46
November,,,,,,,,,,7.05
December,,,,,,,,,,7.68
Total,,,,,,,,,,
,,,,,,,,,,
15949,QUAVEBURN COTTAGE ,01/01/1960,31/12/1967,,,,,,,
