COLEFORD-CANNOP-COLLIERY (ROOF GAUGE),,,,,,,,,,,,,,,,,,,,,
Grid ref,SO608125,Long,-2.56999,Lat,51.809752,Elevation,300,ft,,,,,,,,,,,,,
Station no,2131,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,1.37,4.45,2.67,5.52,3.88,5.67,1.32,6.69,2.89,5.1,3.49,3.48,,,,,,
February,,,,8.35,0.38,4.16,2.44,4.08,3.04,1.51,0.86,2.18,0.12,3.81,0.56,,,,,,
March,,,,1.72,1.59,1.02,0.31,3.79,4.95,0.19,3.6,0.64,2.41,3.86,3.16,,,,,,
April,,,,2.76,3.29,1.77,2.77,1.39,1.29,1.09,3.37,3.41,3.71,1.21,2.66,,,,,,
May,,,,1.74,4.73,4.21,2.2,0.81,0.65,2.39,1.39,3.9,5.55,2.62,1.71,,,,,,
June,,,,0.5,3.17,0,2.05,3.15,2.44,2.24,0.79,3.54,2.86,1.86,1.1,,,,,,
July,,,,2.17,4.69,3.08,3.04,5.11,1.78,1.72,3.89,4.44,2.9,1.14,0.66,,,,,,
August,,,,2.4,4.12,3.87,2.24,4.86,2.8,2.09,4.29,5.31,1.17,0.57,3.37,,,,,,
September,,,,3.31,5.56,4.36,0.55,5.37,1.09,0.61,4.22,2,4.08,2.61,2.38,,,,,,
October,,,,6.17,5.11,3.28,3.3,3.82,8.12,5.77,3.59,0.64,5.58,4.17,2.36,,,,,,
November,,,,2.27,3.2,2.22,8.53,3.4,4.03,12.07,4.63,7.11,1.82,1.03,2.26,,,,,,
December,,,,2.88,4.85,3.3,0.59,3.87,3.23,8.45,4.46,1.9,2.53,0.96,8.74,,,,,,
Total,,,,35.64,45.14,33.94,33.54,43.53,39.09,39.45,41.78,37.96,37.83,27.33,32.44,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Note: This was a roof gauge at approx 14ft,,,,,,,,,,,,,,,,,,,,,
1923 Total corrected,,,,,,,,,,,,,,,,,,,,,
