COLEFORD-CANNOP-COLLIERY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO608125,Long,-2.56999,Lat,51.809752,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.99,5.47,5.28,3.84,7.54,3.05,5.2,3.45,8.67,2.87,2.5,4.2,3.67,5.59,1.33,0.6,3.92,2.84,0.81,2.21,3.93,3.88,1.76,,4.19,
February,,,,,3.36,3.4,5.3,1.2,2.44,3.07,4.88,0.78,2.29,0.76,2.64,1.98,1.79,1.36,1.66,7.24,5.27,0.5,1.55,3.29,1.92,0.53,4.31,,0.3,
March,,,,,0.64,4.11,5.07,0.11,1.95,2.21,2.69,3.21,1.32,0.17,1.2,1.1,8.46,1.97,1.65,2.68,4.17,2.22,1.22,4.18,2.35,0.97,3.72,,3.5,
April,,,,,5.86,2.82,2.58,0.1,3.01,2.74,1.14,2.54,0.8,1.43,1.45,2.58,3.68,3.12,2.87,2.31,3.14,2.62,3.68,0.22,1.14,2.59,0.05,,4.16,
May,,,,,0.94,1.42,2.68,2.82,1.09,2.26,2.2,5.35,4.57,1.15,2.45,4,2.96,3.82,3.79,2.08,3.09,3.93,2.55,3.15,5.62,0.78,2.16,,1.43,
June,,,,,5.1,2.66,1.03,1.3,2.05,0.55,1.91,0.32,1.85,2.18,3.58,2.97,1.76,2.59,0.48,1.44,1.02,2.41,2.43,6.21,4.47,2.41,1.73,,1.37,
July,,,,,0.31,6.07,4.02,4.05,5.12,3.21,2.83,1.72,1.45,2.28,2.32,1.22,3.29,1.11,0.89,3.53,1,1.99,3.35,2.55,0.29,3.09,3.87,,2.45,
August,,,,,1.6,0.43,1.3,3.87,2.02,0.09,3.89,4.18,4.16,2.76,2.55,5.4,1.29,3.96,1.69,5.55,5.11,5.95,2.89,4.03,0.62,3.76,2.7,,2.29,
September,,,,,4.86,3.72,1.92,2.46,0.83,0.94,0.63,2.67,3.59,3.37,2.34,5,1.61,2.5,3.42,4.5,3.54,2.61,3.94,3.5,1.47,4.54,3.72,,0,
October,,,,,4.83,1.88,3.67,4.27,2.85,5.54,2.07,2.35,2.49,5.42,4.05,1.09,0.74,3.56,7.34,1.1,1.27,4.75,2.4,4.87,2.23,1.79,2.16,,2.4,
November,,,,2.12,7.25,3,1.55,4.64,6.18,7.55,2.93,1.16,1.87,6.26,0.47,7,2.59,1.95,3.71,5.86,8.05,4.6,1.96,8.27,6.08,1.03,2.98,,6.6,
December,,,,9.11,4.6,5.64,2.99,5.31,1.77,1.92,3.15,5.3,2.36,3.04,6.65,4.86,2.35,6.37,1.72,1.97,3.38,2.22,1.39,2.83,5.52,5.48,2.79,,8.61,
Total,,,,,40.34,40.62,37.39,33.97,36.85,33.13,33.52,33.03,35.42,31.69,32.2,41.4,34.19,37.9,30.55,38.86,42.96,36.64,28.17,45.31,35.64,30.85,31.95,,37.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: This ground-based gauge replaced the roof gauge in 1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Apr IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 Mar Gauge moved E (approx 100yds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959 Sep Tr=zero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
