HAMPSTEAD-AKENSIDE-2,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ266851,Long,-0.17548282,Lat,51.550595,Elevation,285,ft.,,,,,,,,,,,,
Station no,RR8090,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.73,0.9,1.66,,,,,,,,,
February,,,,,,,,,1.44,0.48,2.71,,,,,,,,,
March,,,,,,,,,2.54,2.87,1.06,,,,,,,,,
April,,,,,,,,,2.71,2.13,1.44,,,,,,,,,
May,,,,,,,,,2.11,1.9,2.32,,,,,,,,,
June,,,,,,,,,1.62,3.88,2.4,,,,,,,,,
July,,,,,,,,,4.53,3.66,2.66,,,,,,,,,
August,,,,,,,,,3.01,1.52,1.96,,,,,,,,,
September,,,,,,,,,1.55,2.69,0.58,,,,,,,,,
October,,,,,,,,,2.13,4.28,2.12,,,,,,,,,
November,,,,,,,,,0.76,0.78,3.3,,,,,,,,,
December,,,,,,,,,2.32,2.84,3.59,,,,,,,,,
Total,,,,,,,,,26.45,27.93,25.8,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Akenside at the stated altitude.,,,,,,,,,,,,,,,,,,,,
