HAMPSTEAD-FROGNAL,,,,,,,,,,,,,,
Grid ref,TQ262850,Long,-0.1812846,Lat,51.549786,Elevation,211,ft.,,,,,,
Station no,RR8089,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,
January,,,,,,,4.11,1.01,,,,,,
February,,,,,,,2.11,1.23,,,,,,
March,,,,,,,1.35,,,,,,,
April,,,,,,1.57,0.62,,,,,,,
May,,,,,,0.86,2.29,,,,,,,
June,,,,,,4.01,2.6,,,,,,,
July,,,,,,1.52,0.49,,,,,,,
August,,,,,,,0.75,,,,,,,
September,,,,,,1.91,2.04,,,,,,,
October,,,,,,1.71,3.36,,,,,,,
November,,,,,,3.29,4.39,,,,,,,
December,,,,,,0.81,2.32,,,,,,,
Total,,,,,,,26.43,,,,,,,
,,,,,,,,,,,,,,
NGR is on Frognal at the stated altitude.,,,,,,,,,,,,,,
Gauge moved quarter mile east in March 1907 to Akenside,,,,,,,,,,,,,,
