HAMPSTEAD-AKENSIDE-1,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ266851,Long,-0.17548282,Lat,51.550595,Elevation,285,ft.,,,,,,,,,,,,
Station no,RR8090,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,1.89,0.86,1.69,1.35,4.21,2.66,0.59,,,,,
February,,,,,,,,,1.62,0.49,2.8,-999,1.74,0.84,2.54,,,,,
March,,,,,,,,,2.56,2.98,1.05,1.74,3.2,2.51,4.56,,,,,
April,,,,,,,,3.25,2.63,2.08,1.44,1.84,0.07,3.03,,,,,,
May,,,,,,,,1.46,2.08,1.87,2.35,1.68,1.26,1.69,,,,,,
June,,,,,,,,2.13,1.71,3.97,2.42,2.39,3.49,0.39,,,,,,
July,,,,,,,,2.14,4.8,3.7,2.65,1.01,1.7,2.67,,,,,,
August,,,,,,,,2.2,2.97,1.53,2,-999,4.81,1.43,,,,,,
September,,,,,,,,0.66,1.54,2.7,0.55,-999,2,1.81,,,,,,
October,,,,,,,,2.8,2.14,4.34,2.17,-999,2.3,3.47,,,,,,
November,,,,,,,,2.19,0.76,0.77,3.25,-999,1.91,2.63,,,,,,
December,,,,,,,,3.81,2.43,2.89,3.57,-999,2.88,0.78,,,,,,
Total,,,,,,,,,27.13,28.18,25.94,25.05,29.57,23.91,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is on Akenside at the stated altitude.,,,,,,,,,,,,,,,,,,,,
