BLANDFORD-BRYANSTON-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST868074,Long,-2.18884,Lat,50.86625,Elevation,275,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1620/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.48,4.52,7.36,2.94,4.6,5.55,8.62,2.89,2.11,4.62,3.67,,,,,,,,3.25,5.16,3.43,3.37,4.9,4.24
February,,,,,,,7.37,1.12,2.22,4.84,4.82,0.28,1.91,1.51,3.11,2.61,1.54,,2.99,,,,,,2.09,0.21,4.16,3.66,0.34,4.08
March,,,,,,,4.89,0.19,1.55,2.94,2.93,3.2,0.85,0.4,1.24,1.18,8.52,,1.49,,,,,,1.68,1.19,2.85,1.53,4.33,2.8
April,,,,,,,2.36,0,2.14,1.46,2.34,2.56,0.78,1.92,0.81,,2.53,,2.5,,,,,,0.56,1.46,0.15,0.67,2.89,2.33
May,,,,,,,3.27,1.93,0.73,1.21,2.45,4.5,3.29,0.44,2.6,,2.52,,2.62,,,,,,4.25,0.51,2.54,2.61,1.5,1.91
June,,,,,,,0.97,1,2.15,0.51,2.23,0.32,2.07,2.11,3.48,3.26,1.85,,0.58,,,,,,2.03,2.37,1.95,4.58,1.25,1.85
July,,,,,,,1.79,3.1,5.32,3.58,2.13,1.29,2.45,3.17,,0.83,1.56,,0.59,,,,,,3.12,2.18,4.12,,1.5,4.15
August,,,,,,,1.44,3.26,6.55,0.05,4.06,4.06,2.02,2.8,2.59,4.76,0.32,,2.2,,,,,,0.32,3.85,2.08,,2.19,3.87
September,,,,,,3.52,3.49,2.11,1.53,2.14,1.24,2.83,2.15,2.2,3.79,5.64,1.3,,4.19,,,,,,0.82,4.71,1.67,,0.13,6.49
October,,,,,,1.56,5.95,3.96,5.88,6.17,0.87,4.31,4.7,5.22,5.09,1.52,1.14,,8.38,,,,,,2.96,2.76,3.03,,3.58,9.99
November,,,,,,3.85,1.61,7.1,8.07,9.11,2.76,1.97,2.48,8.66,1.27,7.06,1.64,,4.66,,,,,,2.99,0.79,2.7,2.75,5.42,5.79
December,,,,,,3.83,5.41,4.58,2.52,4.17,2.8,6.67,4.02,3.22,5.01,4.99,3.74,,2.25,,,,,,5.51,5.62,2.61,3.49,,3.7
Total,,,,,,,46.03,32.87,46.02,39.12,33.23,37.54,35.34,34.54,,,30.33,,,,,,,,29.58,30.81,31.29,,,51.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School grounds large and had several moves so NGR taken from CEDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Feb 3rd Gauge moved 0.25 miles S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Apr May Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Jan Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 NR and record now terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Record restarted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Rain days appear high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960 Apr 25th o/e S-W but site 30yds W not quite so exposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Bryanston School SRC_ID 7876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
