"NUNEATON, SEWAGE PUMPING STATION - Old gauge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP361923,Long,-1.469317,Lat,52.527382,Elevation,288,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2487/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,1.92,1.97,4,2.57,2,2.75,1.31,2.05,1.59,2.56,2.31,3.64,1.12,2.79,1.01,1.31,1.71,,,,,,,
February,,,,,,,,1.03,0.97,2.68,1.01,0.25,1.43,3.68,0.85,2.42,2.68,1.85,2.07,0.19,0.55,2.06,0.35,2.81,,,,,,,
March,,,,,,,,1.58,0.91,3.31,2.21,0.75,2.14,1.42,0.79,0.65,0.53,1.88,1.39,0.07,1.99,0.03,1.5,2.43,,,,,,,
April,,,,,,,,1.75,2.43,1.78,4.04,0.58,1.81,1.71,2.39,1.33,1.62,1.4,1.14,0.63,2.31,2.83,2.55,0.88,,,,,,,
May,,,,,,,,3.49,1.69,1.09,2.37,1.43,1.05,1.12,4.32,3.42,3.65,1.24,0.44,1.53,2.62,2.95,6.06,1.41,,,,,,,
June,,,,,,,,3.92,0.75,1.05,2.03,0.45,0.7,0.36,1.6,0.05,1.2,2.86,2.63,1.64,0.78,2.28,0.96,1.83,,,,,,,
July,,,,,,,,1.52,2.56,3.47,2.94,0.18,4.06,3.22,2.65,4.82,2.17,2.72,1.33,1.4,4.37,3.44,3.55,1.59,,,,,,,
August,,,,,,,,4.28,1.15,2.08,1.01,3.88,4.07,1.61,2.72,1.25,2.47,3.9,2.09,2.38,2.55,3.82,1.73,0.7,,,,,,,
September,,,,,,,,1.71,4.78,2.31,2.08,0.77,2.03,3.49,3,3.48,1.01,4.04,0.7,0.52,2.61,2.3,2.26,1.24,,,,,,,
October,,,,,,,,2.62,0.81,2.34,1.45,1.93,0.24,2.71,4.16,2.64,1.86,1.6,3.76,3.16,1.9,0.54,2.73,1.68,,,,,,,
November,,,,,,,,0.89,1.65,1.5,0.62,1.57,0.81,1.28,2.06,1.48,3.72,3.21,3.43,5.16,2.59,2.24,1.82,1.13,,,,,,,
December,,,,,,,,1.03,2.55,3.84,1.64,1.59,2.82,2.74,2.08,2.11,0.44,2.43,1.59,4.04,1.98,0.68,0.58,0.28,,,,,,,
Total,,,,,,,,25.74,22.22,29.45,23.97,15.38,23.91,24.65,28.67,25.24,23.91,29.44,24.21,21.84,27.04,24.18,25.4,17.69,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_15_pt1-page-246.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_16_pt1-page-122.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1931-1940_14_pt1-page-287.csv: CORRECTION 1935 data crossed out on record and noted that transferred to new gauge. JacsHu: deleted 1935 data from this file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
