NUNEATON PUMPING STATION NEW GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP361923,Long,-1.469317,Lat,52.527382,Elevation,269,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2487/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.78,0.51,2.78,3.53,2.75,4.87,1.9,2.61,2.2,4.23,2.64,1.72,1.54,1.43,3.68,1.33,0.6,2.49,2.38,0.98,0.99,2.11,3.85,1.51,2.74,3.16,4.52
February,,,,0.4,1.53,2.21,3.18,0.63,1.18,2.25,2.17,0.73,1.03,1.39,1.59,2.1,1.39,1,0.64,4.5,3.05,0.61,1.53,2.74,2.37,0.97,2.74,3.55,0.04,2.03
March,,,,1.32,0.38,1.73,2.58,0.28,1.41,1.52,2.5,1.54,0.87,0.21,0.63,0.8,5.6,0.83,1.65,1.21,3.89,2.89,1.57,2.61,3.05,0.89,2.29,1.82,1.71,1.39
April,,,,2.11,2.61,1.64,2.52,0.08,1.72,1.59,1.28,1.44,0.71,1.44,0.54,1.9,2.01,1.33,2.46,1.76,2.03,2.47,2.05,0.67,1.01,0.81,0.21,1.07,3.02,1.04
May,,6.04,,0.56,1.45,1.13,2.61,1.45,1.41,1.33,2.89,4.05,2.43,0.72,3.91,2.17,1.22,1.99,2.37,1.55,3.2,2.93,1.57,2.47,4.12,0.76,1.23,1.93,0.36,1.2
June,,0.96,,0.53,2.88,6.07,0.62,1.59,2.35,0.36,1.98,0.51,2.13,1.77,2.63,3.36,1.09,1.97,0.59,2.46,1.76,1.84,2.49,2.44,2.77,3.24,1.2,5.08,0.71,4.66
July,,3.53,,1.14,0.3,6.32,2.45,2.57,3.13,2.81,4.31,1.45,0.86,2.43,2.14,2.62,2.45,2.05,3.95,2.24,1.25,0.41,2.9,2.87,1.5,2.24,3.34,5.18,1.04,2.83
August,,1.73,,1.7,1.68,0.48,0.77,2.48,2.48,0.24,3.51,1.95,1.25,2.1,1.36,4.94,0.22,3.44,1.19,4.22,5.23,4.31,2.12,3.99,0.48,5.1,3.49,2.09,1.1,2.58
September,,2.26,,1.39,3.71,2.44,0.93,1.5,0.82,0.59,0.5,0.91,1.72,3.42,1.14,3.47,1.36,2.54,1.62,3.61,1.63,1.55,1.6,2.11,1.81,1.79,4.76,2.77,0.1,3.74
October,,2.81,,1.26,2.84,1.32,2.16,2.24,4.58,3.45,1.82,2.77,1.88,2.72,3.27,0.76,0.2,2.85,6.23,0.88,0.81,3.63,2.91,3.63,1.66,1.43,1.2,2.39,2.57,5.02
November,,1.82,,1.41,4.54,2.01,1.32,2.62,3.52,5.98,2.59,1.91,1.7,4.02,0.17,4.9,1.5,1.36,2.53,3.9,5.53,2.42,1.14,5.61,2.37,0.74,1.86,1.93,2.87,3.36
December,,0.58,,3.35,3.64,1.99,1.78,2.93,1.27,1.38,1.22,2.66,1.09,1.48,1.87,2.29,1.85,3.44,1.18,0.98,2.15,3.22,0.93,2.2,2.02,3.01,2.5,2.55,3.99,3.08
Total,,,,16.95,26.07,30.12,24.45,21.12,28.64,23.4,27.38,22.12,19.9,24.34,20.97,30.85,20.32,26.48,25.74,27.91,33.02,28.66,21.79,32.33,25.27,24.83,26.33,33.1,20.67,35.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1931-1940_14_pt1-page-288.csv: Correction: 1932 total has been recorded for only 8 months; JacsHu deleted total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1-page-086.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1951-1960_15_pt1-page-084.csv Correction: JacsHu 1956 Jan is 3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
