DAVA STATION,,,,,,,,,,
Grid ref,NJ008387,Long,-3.653677,Lat,57.427778,Elevation,980,ft,,
Station no,5682/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5,3.59
February,,,,,,,,,0.8,2.86
March,,,,,,,,,1,0.81
April,,,,,,,,,2.6,2.35
May,,,,,,,,3.14,1.2,0.98
June,,,,,,,,2.28,3.48,3.16
July,,,,,,,,5.1,2.56,3.13
August,,,,,,,,4.07,1.4,7.99
September,,,,,,,,1.81,0.66,2.95
October,,,,,,,,1.98,4.65,4.62
November,,,,,,,,1.38,3.63,2.12
December,,,,,,,,2.8,1.8,1.45
Total,,,,,,,,,28.78,36.01
,,,,,,,,,,
1958 Dec Estd,,,,,,,,,,
1959 Ja Feb Mar Estd,,,,,,,,,,
BR 1960 published May Estd,,,,,,,,,,
,,,,,,,,,,
Station no,5682/2,,,,,,,,,
Midas,14737,,,,,,,,,
Hyd Stn,810765,,,,,,,,,
