"DUNOON",,,,,,,,,,,,
Grid ref,NS172773,Long,-4.929477,Lat,55.953843,,,,,,,
Station no,5430/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.87,7.74,5.00,,,,,,,,,
February,2.59,2.49,3.88,,,,,,,,,
March,3.87,6.28,2.86,,,,,,,,,
April,4.92,3.16,3.22,,,,,,,,,
May,2.34,1.54,3.61,,,,,,,,,
June,2.43,4.77,1.95,,,,,,,,,
July,4.49,3.31,8.44,,,,,,,,,
August,6.54,7.16,7.52,,,,,,,,,
September,5.28,4.61,8.01,,,,,,,,,
October,2.05,6.46,4.49,,,,,,,,,
November,9.49,2.89,12.93,,,,,,,,,
December,12.84,9.74,8.81,,,,,,,,,
Total,63.71,60.15,70.72,,,,,,,,,
Calc annual,63.71,60.15,70.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
