DUNOON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS1797578210,Long,-4.91769,Lat,55.9623,Elevation,138,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5430/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,5.67,8.44,11.69,5.37,3.82,0.9,10,7.74,9.95,4.22,9.34,7,10.58,9.78,7.37,6.87,7.74,5,,,,,,,
February,,,,,,3.91,8.39,5.8,9.63,3.3,4.51,2.17,7.17,2.71,11.95,5.92,1.23,7.98,5.97,7.14,2.59,2.49,3.88,,,,,,,
March,,,,,,4.69,1.85,8.63,5.5,3.93,3.6,4.94,4.75,1.93,5.85,4.02,5.04,7.27,4.15,4.66,3.87,6.28,2.86,,,,,,,
April,,,,,,1.71,3.63,0.9,4.6,3.5,2.59,2.93,5.82,5.07,3.87,2.63,9.06,4.33,10.09,5.28,4.92,3.16,3.22,,,,,,,
May,,,,,0.94,3.24,1.9,5.84,1.01,0.97,2.45,3.64,4.73,5.36,5.23,1.87,5.13,2.31,3.45,1.72,2.34,1.54,3.61,,,,,,,
June,,,,,5.44,2.62,4.81,8.81,3.58,1.19,1.69,2.98,5.66,5.75,5.76,4.99,5.74,5.92,1.18,2.83,2.43,4.77,1.95,,,,,,,
July,,,,,3.08,7.28,7.28,5.18,7.01,3.51,3.7,6.42,4.22,5.66,3.57,4.82,4.45,7.75,3.98,7.76,4.49,3.31,8.44,,,,,,,
August,,,,,3.04,4.14,4.94,4.39,2.02,2.27,6.74,8.44,10.75,3.57,2.37,4.91,0.08,9.66,7.89,7.49,6.54,7.16,7.52,,,,,,,
September,,,,,8.93,5.94,6.01,8.04,5.27,5.33,2.73,8.97,5.54,7.14,7.95,9.74,7.47,9.58,3.33,14.31,5.28,4.61,8.01,,,,,,,
October,,,,,15.04,8.67,3.77,14.56,2.17,8.67,7.96,11.19,14.52,6.63,8.42,0.69,3.58,15.16,10.86,9.31,2.05,6.46,4.49,,,,,,,
November,,,,,6.63,5.55,1.33,13.66,12.76,10.23,6.01,3.73,5.7,11.05,0.61,7.94,11.86,6.98,9.01,5.5,9.49,2.89,12.93,,,,,,,
December,,,,,4.47,10.04,5.35,6.6,5.03,9.38,5.83,12.22,3.61,7.47,6.77,9.72,4.12,9.47,13.51,2.25,12.84,9.74,8.81,,,,,,,
Total,,,,,,63.46,57.7,94.1,63.95,56.1,48.71,77.63,80.21,72.29,66.57,66.59,64.76,96.99,83.2,75.62,63.71,60.15,70.72,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Apr part may Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 JF Estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Nov Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5430/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,13793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,666810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
