MORETON-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SY806891,Long,-2.2751,Lat,50.7016,Elevation,95,ft,,,,,,,,,,,,
Station no,RR6708,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.19,5.56,0.7,1.49,1.83,3.81,3.55,3.28,4.75,,,
February,,,,,,,,,2.72,4.75,4.5,4.82,2.16,4.61,2.36,4.51,0.68,,,
March,,,,,,,,,2.49,0.51,1.58,3.28,0.52,1.04,2.87,1.46,5.32,,,
April,,,,,,,,,4.19,3.14,2.16,0.93,5.5,1.2,2.15,2.82,2.03,,,
May,,,,,,,,,4.23,2.2,0.71,0.84,1.87,2.59,1.34,4.01,4.15,,,
June,,,,,,,,,1.82,6.66,1.45,2.14,4.33,2.62,4.05,1.91,1.75,,,
July,,,,,,,,,2.2,3.57,3.17,1.89,3.7,3.69,2.71,0.31,3.49,,,
August,,,,,,,,,4.41,7.64,1.11,6.94,2.96,0.94,1.59,1.5,1.24,,,
September,,,,,,,,,1.81,5.17,4.45,2.5,3.39,5.66,-999,5.17,5.8,,,
October,,,,,,,,,3.75,1.06,7.81,1.78,9.12,3.06,-999,5.59,5.26,,,
November,,,,,,,,,2.59,0.15,3.7,5.99,4.58,4.1,-999,4.76,4.78,,,
December,,,,,,,,,2.29,1.04,5.62,4,3.48,1.09,-999,2.03,8.29,,,
Total,,,,,,,,43.67,33.69,41.45,36.96,36.6,43.44,34.41,32.34,37.35,47.54,,40.17,
,,,,,,,,,,,,,,,,,,,,
Very large grounds with no info as to where gauge was other than elevation which matches most of area,,,,,,,,,,,,,,,,,,,,
1884 Sep-Dec -999 added to keep total as given,,,,,,,,,,,,,,,,,,,,
