"USWAYFORD",,,,,,,,,,,,
Grid ref,NT887145,Long,-2.180085,Lat,55.424272,,,,,,,
Station no,3590/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,2.00,4.12,2.57,6.21,3.59,3.22,2.29,5.45,,
February,,-999.00,4.21,3.01,4.42,4.09,4.77,3.22,0.59,3.93,,
March,,-999.00,0.45,2.60,2.85,1.65,2.01,3.30,1.50,2.30,,
April,,-999.00,3.83,0.64,0.83,1.40,0.47,1.83,2.45,2.08,,
May,,-999.00,3.55,7.82,2.49,0.88,1.86,3.86,0.84,3.12,,
June,,,5.55,1.79,1.56,2.38,1.53,3.00,1.97,1.58,,
July,,1.59,5.60,4.03,2.41,4.10,4.37,4.98,3.02,4.40,,
August,,3.29,3.20,10.44,0.68,10.36,9.76,3.90,0.61,3.34,,
September,,4.66,3.77,3.91,2.67,3.06,3.01,3.55,1.05,2.80,,
October,,6.20,2.24,5.97,3.98,2.92,2.82,2.30,2.68,12.95,,
November,,5.65,2.72,4.91,2.05,1.57,2.49,0.60,8.33,3.62,,
December,,7.77,1.89,2.90,6.37,3.67,2.72,6.94,7.43,4.66,,
Total,,,39.01,52.14,32.88,42.29,39.40,40.70,32.76,50.23,,
Calc annual,0.00,29.16,39.01,52.14,32.88,42.29,39.40,40.70,32.76,50.23,,
Difference,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
