HASLEMERE-CLAMMER-HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU920342,Long,-0.68739,Lat,51.10012,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,1.16,1.97,1.35,3.58,1.68,3.79,5.73,0.85,5.21,1.95,1.48,4.04,6.01,4.23,3.86,5.03,2.04,2.94,4.37,5.2,2.44,5.85,1.46,5.84,2.99,5.11,3,3.25,0.86,7.13,8.14,4.85,6.63,3.31,3.78,4.19,,,,,,,,
February,,,,,,,,1.91,1.44,0.49,4.56,2.11,3.3,1.33,6.43,6.49,5.41,1.07,1.95,3.32,0.84,0.15,3.22,6.27,0.8,5.8,2.56,5.13,2.69,0.85,1.29,2.71,0.39,4.29,0.06,5.05,3.12,6.07,0.58,2.11,3.6,4.02,0.76,,,,,,,,
March,,,,,,,,1.3,3.96,5.14,1.34,2.16,4.91,3.79,5.51,0.63,4.69,2.13,1.37,5.67,2.86,1.39,2.9,2.34,1.73,0.77,0.29,4.58,2.96,0.05,1.24,0.57,2.04,4.84,3.28,0.57,2.01,4.56,0.34,1.37,4.15,3.78,2.61,,,,,,,,
April,,,,,,,,5.37,3.57,1.82,1.72,1.98,0.02,3.39,1.59,1.34,1.13,2.42,3.55,3.06,3.74,1,4.35,3.14,3.65,2.91,3.55,2.01,2.14,0.6,2.93,3.81,3.72,0.86,2.86,4.47,2.19,4.22,0.11,2.5,2.07,1.53,2.2,,,,,,,,
May,,,,,,,,2.24,2.5,2.14,1.99,1.44,1.32,3.65,1.34,3.96,2.05,1.39,1.37,0.35,0.99,2.13,1.21,2.89,4.95,4.53,2.32,0.96,2.07,3.04,2.87,3.03,4.82,2.6,0.83,1.32,0.56,2.45,1.77,1.84,0.9,3.49,3.67,,,,,,,,
June,,,,,,,,2.17,0.97,2.67,3.29,2.64,3.48,0.73,0.78,1.63,2.58,1.72,0.95,0.79,1.89,0.05,1.66,0.39,3.2,0.04,2.68,3.35,2.63,1.79,0.41,1.9,2.07,1.72,1.53,3.92,4.32,1.65,0.88,1.82,0.75,2.06,0.23,,,,,,,,
July,,,,,,,,1.4,2.87,2.8,2.74,0.68,2.66,3.26,2.82,4.65,0.84,4.09,3.87,2.14,5.47,0.53,4.59,1.49,4.69,3.77,1.74,4.44,1.72,1.8,3.01,4.03,3.47,2.4,1.48,0.91,4.31,1.04,2.43,4.34,2.9,2.39,2.01,,,,,,,,
August,,,,,,,,2.56,5.54,2.28,3.19,1.27,5.94,1.57,1.52,2.07,3.36,6.95,1.1,3.57,1.88,1.71,3.45,3.1,2.94,4.47,1.51,4.33,2.32,2.23,4.74,4.88,0.53,1.22,3.75,3.27,0.89,0.83,1.35,2.27,0.22,5.77,4.16,,,,,,,,
September,,,,,,,,0.5,2.47,2.31,0.43,1.53,4.29,3.56,1.36,2.32,2.89,2.31,5.84,1.44,2.84,0.94,1.78,2.22,5.64,3.06,0.6,6.57,1.39,0.3,2.97,2.39,3.19,3.53,3,5.5,2.95,1.77,2.59,0.97,1.88,0.21,2.62,,,,,,,,
October,,,,,,,,7.34,2.69,7.58,4.35,5.27,4.11,4.98,1.81,4.31,6.88,4.94,1.58,0.53,3.05,0.64,0.89,6.94,4.98,4.3,2.6,2.83,7.68,4.48,1.83,0.62,6.8,2.3,2.24,5.19,1.82,4.21,4.47,6.38,4.93,0.98,4.19,,,,,,,,
November,,,,,,,,2.91,1.4,0.58,4.41,5.01,2.21,3.17,4.69,3.37,5.94,1.27,3.13,2.39,2.15,2.43,2.07,2.05,3.64,3.35,7.31,4.35,3.61,9.51,6.39,4.31,1.81,1.17,3.94,7.8,4.97,2.8,6.17,7.03,9.34,4.67,,,,,,,,,
December,,,,,,,,4.3,3.96,5.25,6,9.95,4.6,1.67,10.95,8.35,4.18,1.87,3.14,6.01,4.07,2.27,5.01,3.22,5.8,3.95,0.22,5.98,3.46,9.03,3.58,0.87,1.17,0.65,10.42,4.98,5.11,5.14,4.51,2.28,2.26,3.01,,,,,,,,,
Total,,,,,,,,33.16,33.34,34.41,37.6,35.72,40.63,36.83,39.65,44.33,41.9,31.64,31.89,35.28,34.01,17.1,36.16,36.09,44.96,41.32,30.58,46.97,38.52,35.14,37.1,32.11,35.12,28.58,36.64,43.84,39.38,42.88,30.05,39.54,36.31,35.69,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location of gauge unknown as large estate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Located at correct altitude near possible kitchen garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read in winter 9am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge read in summer 10am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Terminated for duration but taken to be permanent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
