YSTRAD MYNACH (PARK HOUSE),,,,,,,,,,,,
Grid ref,ST138944,Long,-3.247099,Lat,51.641770,,,,,,,
Station no,4094/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.01,7.35,1.54,3.60,5.48,,,,,,,
February,7.71,0.86,2.69,6.70,2.88,,,,,,,
March,6.35,4.68,3.54,5.99,3.28,,,,,,,
April,4.43,4.89,5.26,0.82,2.17,,,,,,,
May,3.65,5.21,4.36,3.28,5.73,,,,,,,
June,1.76,3.20,3.06,6.51,6.51,,,,,,,
July,1.92,4.62,6.58,3.61,0.55,,,,,,,
August,7.64,7.49,5.72,5.30,1.30,,,,,,,
September,5.95,4.19,6.73,8.81,2.31,,,,,,,
October,1.66,7.14,4.42,9.93,3.54,,,,,,,
November,12.57,4.57,5.05,13.54,7.41,,,,,,,
December,8.01,4.59,1.64,6.66,10.15,,,,,,,
Total,69.66,58.79,50.59,74.75,51.31,,,,,,,
Calc annual,69.66,58.79,50.59,74.75,51.31,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
