YSTRAD-MYNACH-PARK-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,ST138944,Long,-3.2470989,Lat,51.64177,Elevation,506,ft,,,,,,,,,,,,
Station no,4094/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,9.54,5.94,14.01,1.96,2.14,8.01,7.35,1.54,3.6,5.48,,,,,
February,,,,,,6.07,2.96,3.8,3.28,11.4,7.71,0.86,2.69,6.7,2.88,,,,,
March,,,,,,2.09,12.48,3.45,2,4.76,6.35,4.68,3.54,5.99,3.28,,,,,
April,,,,,,1.74,5.9,3.2,5.77,3.51,4.43,4.89,5.26,0.82,2.17,,,,,
May,,,,,,4.92,2.77,4.35,5.47,1.81,3.65,5.21,4.36,3.28,5.73,,,,,
June,,,,,,5.53,2.81,6.27,1.38,2,1.76,3.2,3.06,6.51,6.51,,,,,
July,,,,,,3.14,3.29,1.93,3.72,7.91,1.92,4.62,6.58,3.61,0.55,,,,,
August,,,,,,10.34,0.72,7.89,3.15,9.31,7.64,7.49,5.72,5.3,1.3,,,,,
September,,,,,4.7,10.17,2.45,6.69,4.05,8.79,5.95,4.19,6.73,8.81,2.31,,,,,
October,,,,,6.83,1.24,2.11,6.53,12.05,3.02,1.66,7.14,4.42,9.93,3.54,,,,,
November,,,,,0.87,11.41,7.14,3.06,6.55,7,12.57,4.57,5.05,13.54,7.41,,,,,
December,,,,,8.66,7.55,5.28,9.59,6.22,3.41,8.01,4.59,1.64,6.66,10.15,,,,,
Total,,,,,,73.74,53.85,70.77,55.6,65.06,69.66,58.79,50.59,74.75,51.31,,,,,
