CALDER WATER (WHITE GRAIN BURN),,,,,,,,,,
Grid ref,NS279633,Long,-4.749419,Lat,55.832153,Elevation,1437,ft,,
Station no,5291/1/5/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,7,,6.05,,11.6,11.9,3.8,7.05
February,,,6.15,,,,5.75,7.63,4.35,11.05
March,,,2.5,,,,11.6,2.85,7.2,4.05
April,,,4.7,,7.9,,4.06,3.5,6.45,10.55
May,,2.39,5.04,,7.2,,3.6,5.65,2.57,4.4
June,,5.6,2.45,9.05,6,,4.45,4.9,5,5.35
July,,7.87,9.35,8.06,2.01,,9.95,7.64,8.7,8.65
August,,10.15,8.6,9.55,1.95,,9.6,8.6,2.87,6.2
September,,6.8,12.2,,,,6.85,6.8,2.7,5.4
October,,10.9,8.4,,,,11.35,7.2,10.95,5.25
November,,3.8,14.25,15.9,5.6,,4.55,4.25,9.95,12.45
December,,10.5,9.75,14.05,13.4,,9.65,10.4,14.35,11.85
Total,,,90.39,,,,93.01,81.32,78.89,92.25
,,,,,,,,,,
BR 1953 P,,,,,,,,,,
BR 1954 NP TME JFMAM SO Deleted,,,,,,,,,,
BR 1955 NP TME FM SO Deleted,,,,,,,,,,
BR 1956 NP TME Deleted,,,,,,,,,,
BR 1957 P JFM Est,,,,,,,,,,
,,,,,,,,,,
Station no,5291/1/5/1,,,,,,,,,
Midas,13647,,,,,,,,,
Hyd stn,659172,,,,,,,,,
