"TOCKENHAM MANOR",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1497,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,,,,,,,,,,1.01,3.69,
February,,,,,,,,,,0.63,0.89,
March,,,,,,,,,,0.20,1.95,
April,,,,,,,,,,0.77,2.54,
May,,,,,,,,,,2.01,1.43,
June,,,,,,,,,,1.10,1.02,
July,,,,,,,,,,1.34,2.39,
August,,,,,,,,,,1.99,1.99,
September,,,,,,,,,,0.26,3.07,
October,,,,,,,,,,4.55,1.75,
November,,,,,,,,,,5.99,4.62,
December,,,,,,,,,,5.80,2.95,
Total,,,,,,,,,,25.65,28.29,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.65,28.29,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,
