"TOCKENHAM MANOR",,,,,,,,,,,,
Grid ref,SU040811,Long,-1.943732,Lat,51.528797,,,,,,,
Station no,1497,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.20,2.18,0.80,1.90,2.50,4.05,2.42,2.92,4.43,3.76,,
February,4.33,0.73,1.38,2.52,1.39,0.17,3.16,3.34,0.26,2.01,,
March,3.32,3.00,0.82,2.68,1.49,0.50,2.59,1.64,2.96,1.73,,
April,2.76,1.71,2.75,0.59,0.81,1.65,0.33,1.06,2.73,1.28,,
May,2.09,3.70,1.96,2.00,4.76,0.61,1.65,2.79,1.73,1.60,,
June,1.08,1.82,1.45,5.05,3.08,2.26,1.22,2.86,2.44,3.21,,
July,1.47,0.51,3.14,2.23,0.14,2.22,3.48,3.12,2.09,3.62,,
August,5.65,4.30,3.72,3.89,0.35,3.49,3.34,1.82,1.56,3.31,,
September,3.13,1.96,3.18,2.94,0.94,3.32,3.34,4.53,0.16,3.85,,
October,0.98,4.34,3.16,2.54,1.47,2.35,2.34,2.46,1.84,5.47,,
November,6.31,4.42,1.47,5.08,2.33,0.82,1.97,2.73,2.91,4.38,,
December,2.07,2.77,1.04,2.03,2.88,3.49,2.66,2.97,6.26,4.42,,
Total,36.39,31.44,24.87,33.45,22.14,24.93,28.50,32.24,29.37,38.64,,
Calc annual,36.39,31.44,24.87,33.45,22.14,24.93,28.50,32.24,29.37,38.64,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
