TOCKENHAM-MANOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU040811,Long,-1.943732,Lat,51.528797,Elevation,400,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,1.01,3.69,1.67,3.23,2.45,2.01,0.49,3.29,3.6,2.88,5.12,2.78,3.03,3.21,5,1.65,1.81,2.2,1.99,5.16,1.05,0.51,3.2,2.18,0.8,1.9,2.5,4.05,2.42,2.92,4.43,3.76
February,,,,,,,,,,0.63,0.89,1.51,0.09,3.38,0.21,2.18,1.75,4.75,0.8,1.8,2.56,2.98,0.57,1.39,0.66,2.53,2.57,1.22,1.06,1.3,4.88,4.33,0.73,1.38,2.52,1.39,0.17,3.16,3.34,0.26,2.01
March,,,,,,,,,,0.2,1.95,0.36,2.13,3.43,2.2,0.65,3.26,3.21,0.14,1.8,2.86,3.47,2.23,1.01,0.29,1.16,1.16,5.66,1.16,1.19,1.31,3.32,3,0.82,2.68,1.49,0.5,2.59,1.64,2.96,1.73
April,,,,,,,,,,0.77,2.54,2.25,3.28,1.24,2,3.68,2.12,3.2,0.13,3.32,2.07,1.37,1.25,0.74,1.4,0.91,2.26,2.6,2.12,1.91,2.3,2.76,1.71,2.75,0.59,0.81,1.65,0.33,1.06,2.73,1.28
May,,,,,,,,,,2.01,1.43,2.93,6.77,2.49,0.72,1.64,0.68,2.27,2.12,1.38,1.03,1.77,4.83,3.58,0.54,2.05,3.84,1.91,4.8,2.89,2.67,2.09,3.7,1.96,2,4.76,0.61,1.65,2.79,1.73,1.6
June,,,,,,,,,,1.1,1.02,2.98,1.05,1.33,1.61,4.71,2.67,1.28,1.02,3.03,0.68,1.33,0.36,1.96,2.03,4.06,2.99,1.73,2.98,0.36,1.9,1.08,1.82,1.45,5.05,3.08,2.26,1.22,2.86,2.44,3.21
July,,,,,,,,,,1.34,2.39,3.83,3.7,1.87,1.9,0.92,4.42,1.92,1.99,5.54,3.72,2.26,2.13,1.26,2.31,1.22,1.44,2.23,1.02,2.34,5.28,1.47,0.51,3.14,2.23,0.14,2.22,3.48,3.12,2.09,3.62
August,,,,,,,,,,1.99,1.99,3.38,0.63,0.96,1.86,2.2,0.32,0.62,3.95,1.78,0.06,4.38,5.22,2.89,2.78,2.09,5.43,0.61,3.85,1.72,2.99,5.65,4.3,3.72,3.89,0.35,3.49,3.34,1.82,1.56,3.31
September,,,,,,,,,,0.26,3.07,1.96,3.73,3.14,2.3,4.67,3.13,2.22,3.19,0.64,1.34,0.55,1.93,1.51,2.81,2.37,3.74,1.49,2.34,1.24,3.76,3.13,1.96,3.18,2.94,0.94,3.32,3.34,4.53,0.16,3.85
October,,,,,,,,,,4.55,1.75,0.49,5.27,2.45,1.72,4.21,1.5,4.51,4.24,4.13,3.38,1.77,3.88,3.13,4.26,3.25,0.88,0.38,3.9,7.39,1.13,0.98,4.34,3.16,2.54,1.47,2.35,2.34,2.46,1.84,5.47
November,,,,,,,,,,5.99,4.62,3.65,1.93,0.95,1.36,5.98,2.98,1.75,4.01,5.57,8.63,2.49,1.87,1.5,5.27,0.58,5.72,1.92,1.28,3.02,5.75,6.31,4.42,1.47,5.08,2.33,0.82,1.97,2.73,2.91,4.38
December,,,,,,,,,,5.8,2.95,1.33,0.99,0.35,6.89,2.32,3.27,2.52,2.9,1.99,1.32,1.83,4.17,1.48,1.77,3.85,2.44,2.3,4.27,1.13,1.83,2.07,2.77,1.04,2.03,2.88,3.49,2.66,2.97,6.26,4.42
Total,,,,,,,,,,25.65,28.29,26.34,32.8,24.04,24.78,33.65,29.39,31.85,27.37,36.1,30.43,27.23,31.65,25.45,25.77,25.88,34.67,24.04,33.94,25.54,34.31,36.39,31.44,24.87,33.45,22.14,24.93,28.5,32.24,29.37,38.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
