"DANBURY RECTORY",,,,,,,,,,,,
Grid ref,TL779051,Long,0.573870,Lat,51.716412,,,,,,,
Station no,RR1709,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.54,0.77,0.55,1.76,2.09,1.03,2.84,0.78,0.75,0.69,,
February,2.95,0.98,1.11,0.70,2.04,0.42,1.88,0.76,1.11,0.90,,
March,0.82,1.65,1.33,1.72,1.90,2.49,1.30,0.65,1.73,2.67,,
April,0.70,1.51,0.62,1.65,0.54,2.05,0.77,2.56,2.62,1.40,,
May,0.97,0.68,2.29,2.32,1.44,1.02,1.54,2.13,1.28,0.85,,
June,1.80,1.07,3.10,5.71,0.97,3.43,1.66,1.81,0.99,4.13,,
July,1.01,3.53,1.05,5.13,2.18,0.32,1.47,1.88,2.78,2.98,,
August,2.85,1.21,2.90,3.51,3.36,1.79,0.52,1.17,2.34,2.16,,
September,0.71,1.12,2.67,1.83,0.96,1.62,1.44,0.60,1.12,2.20,,
October,1.64,2.30,1.83,4.89,1.08,0.91,3.73,2.63,1.13,4.46,,
November,1.82,0.64,1.81,2.02,1.33,2.28,3.95,1.86,0.84,1.21,,
December,2.25,2.94,1.20,1.34,1.67,0.55,2.14,2.45,1.93,3.08,,
Total,20.06,18.40,20.46,32.58,19.56,17.91,23.24,19.28,18.62,26.73,,
Calc annual,20.06,18.40,20.46,32.58,19.56,17.91,23.24,19.28,18.62,26.73,,
Difference,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
