SHIFNAL HATTON GRANGE,,,,,,,,,,,,
Grid ref,SJ766047,Long,-2.347231,Lat,52.639535,,,,,,,
Station no,2295,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.48,2.08,1.77,1.88,2.80,0.68,3.43,1.41,1.27,1.03,,
February,3.69,1.24,1.21,1.21,3.50,0.69,1.46,1.16,1.24,0.66,,
March,0.98,2.12,1.24,4.22,1.68,3.30,1.26,1.13,3.13,2.35,,
April,0.64,1.77,2.02,1.64,1.35,1.87,1.99,2.11,2.76,2.22,,
May,1.68,1.07,3.08,2.41,2.03,0.48,2.78,3.16,2.75,1.05,,
June,2.07,1.73,1.92,1.31,0.68,1.78,2.34,2.71,2.60,3.10,,
July,1.28,3.77,1.59,2.09,1.68,1.82,1.09,2.51,2.45,3.40,,
August,4.02,2.72,6.06,4.82,2.83,4.80,1.59,2.80,3.47,1.75,,
September,0.64,0.72,1.27,3.68,2.30,1.05,1.21,1.20,2.15,3.04,,
October,3.87,2.43,2.77,5.40,1.01,1.24,4.74,4.94,2.08,2.79,,
November,2.48,1.47,1.77,2.29,1.44,2.59,3.04,2.33,2.20,0.70,,
December,3.63,3.66,1.63,1.85,1.86,0.78,2.72,2.45,2.36,4.49,,
Total,27.46,24.78,26.33,32.80,23.16,21.08,27.65,27.91,28.46,26.58,,
Calc annual,27.46,24.78,26.33,32.80,23.16,21.08,27.65,27.91,28.46,26.58,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
