"LAUDER, BURNCASTLE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT538513,Long,-2.7376291,Lat,55.752848,Elevation,900,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.75,4.46,2.44,4.37,2.79,4.79,2.91,1.74,2.47,2.28,3.12,2.82,4.42,1.51,2.3,1.88,2.22,2.27,2.26,1.4,4.84,,,,
February,,,,,,,4.31,0.9,3.39,2.75,1.86,0.41,2.43,5.69,1.2,5.66,3.15,0.87,1.63,1.85,1.73,2.26,0.61,3.07,0.05,1.28,4.58,,,,
March,,,,,,,4.48,1.64,1.16,3.45,3.58,2.68,2.4,1.28,0.58,3.2,1.4,2.73,4.25,0.16,2.06,1.14,3.3,0.59,5.17,1.39,2.36,,,,
April,,,,,,,2.47,3.08,0.81,3.49,2.56,0.55,3.1,2.45,1.23,3.22,1.79,1.55,1.4,1.24,2.17,3.71,2.71,1.58,4.12,3.7,1.98,,,,
May,,,,,,0.81,2.92,2.11,2.56,0.85,2.62,1.4,0.49,3.76,4.92,4.1,2.85,2.19,1.59,1.77,1.08,2.72,2.2,1.45,2.47,1.12,,,,,
June,,,,,,1.99,2.85,1.92,0.36,1.6,0.62,0.57,1.77,0.98,1.09,0.74,3.48,2.65,4.46,2.8,2.09,3.91,0.94,1.01,2.14,3.25,,,,,
July,,,,,,3.64,4.19,1.16,3.79,0.69,2.3,2.25,4.09,1.54,4.41,1.35,2.89,4.05,1.5,3.66,3.26,3.51,3.58,3.82,2.69,1.12,,,,,
August,,,,,,2.42,5.14,7.5,1.8,2.2,4.79,3.95,2.03,4.3,2.68,2.17,2.63,6.03,6.01,5.01,5.83,5.35,0.88,1.26,3.98,2.27,,,,,
September,,,,,,1.72,2.07,1.63,4.49,2.03,1.18,1.21,2.8,2.26,3.79,4.82,3.9,7.18,2.17,0.4,5.1,1.27,3.02,1.6,2.2,2.65,,,,,
October,,,,,,2.16,5.43,3.48,3.95,4.39,2.6,3.3,3.39,2.83,2.93,2.5,3.85,3.81,4.84,3.11,4.14,1.41,6.69,4.21,4.74,4.74,,,,,
November,,,,,,2,5.36,1.7,1.92,6.71,1.77,1.99,1.11,2.77,1.53,1.73,5.08,3.62,3.71,3.75,4.44,4.24,1.24,3.07,3.85,3.86,,,,,
December,,,,,,6.75,3.34,2.12,1.84,4.51,4.22,1.62,2.83,3.28,3.55,2.77,0.67,2.82,2.34,4.31,2.38,1.12,3.24,1.26,4.33,2.06,,,,,
Total,,,,,,,44.31,31.7,28.51,37.04,30.89,24.72,29.35,32.88,30.38,34.54,34.81,40.32,38.32,29.57,36.58,32.52,30.63,25.19,38,28.84,,,,,
