HAGG-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK160885,Long,-1.7608673,Lat,53.393095,Elevation,700,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2691/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.92,3.38,3.96,6.6,6.91,7.1,,4.7,,6.41,7.9,6.21,7.45,3.99,10.79,2.92,3.77,6.15,6.57,2.24,5.15,3.64,8.63,4.23,5.8,4.26,8.05
February,,,,0.27,8.38,3.62,8.28,2.84,3.97,,5.7,,4.17,3.12,,9.7,4.5,4.09,3.07,7.59,5.23,2.32,3.58,3.95,2.99,1.71,3.98,8.15,,3.89
March,,,,4.88,2.45,3.33,3.6,1.65,3.95,3.54,6.44,2.46,2,0.89,1.55,1.95,7.93,1.92,2.17,2.16,6.65,2.96,3.88,3.68,3.77,2.32,4.16,3.07,2.25,2.09
April,,,,2.88,4.4,2.02,3.3,0.58,3.09,3.81,2.64,2.57,3.32,3.35,2.72,1.73,4.43,2.57,4.77,5.25,2.95,3.33,3.71,0.9,2.02,1.96,0.75,1.92,4,2.62
May,,,,2.67,0.65,1.66,2.9,4.28,2.3,1.05,3.56,4.13,3.66,3.69,3.69,2.04,4.07,1.05,2.06,2.03,2.99,2.96,2.47,3.76,6.26,1.2,1.66,3.71,1.47,2.09
June,,,,1.75,5.01,3.39,2.06,4.04,2.69,0.83,2.1,0.95,3.64,3.56,4.66,4.69,2.91,6.75,0.74,1.88,1.69,2.7,3.43,3.03,3.75,3.59,1.95,4.83,2.34,1.72
July,,,,3.59,2.02,5.85,3.85,5.13,7.6,4.45,3.88,4.87,2.58,4.43,1.61,4.72,2.75,2.36,2.39,3.05,3.08,2.74,5.38,6.53,1.24,9.17,4.79,6.45,3.68,7.95
August,,,,2.93,1.87,2.61,1.67,2.16,2.65,1.57,7.13,,5.18,3.52,3.12,4.57,0.35,5.26,3.49,4.18,5.5,2.78,5.22,7.63,0.84,9.26,8.1,3.99,0.69,4.47
September,,,,3.52,7.35,6.96,1.63,2.81,2.35,4.01,0.59,3.39,5.09,5.63,2.89,6.83,2.07,2.5,1.78,6.78,3.53,,2.67,6.25,2.19,4.75,8.19,5.56,0.12,5.29
October,,,,6.9,10.58,6.5,2.61,9.48,4.12,4.69,6.04,6.52,2.87,5.47,8.3,1.53,1.08,2.53,4.87,2.6,1.21,7.64,2.25,8.31,3.85,3.66,4.68,4.15,4.45,6.79
November,,,,2.78,7.41,6.79,2.02,,9.09,10.26,4.26,1.77,5.26,8.01,0.51,10.01,6.58,2.77,7.57,7.06,11.15,4.18,3.35,7.93,2.95,2.35,2.89,1.59,5.91,7.43
December,,,,6.41,5.66,5.75,4.34,5.57,3.69,5.47,3.91,,2.31,4.49,3.86,5.19,6.94,4.33,9.45,3.29,7.26,5.18,2.35,9.23,7.49,6.32,6.24,5.02,6.95,
Total,,,,43.5,59.16,52.44,42.86,,52.6,,50.95,,46.49,54.06,,60.41,47.6,46.92,45.28,49.64,57.39,,40.53,66.35,40.99,54.92,51.62,54.24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDAS src_id 3267 HAGG FARM Start 1934 end 1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Hagg Farm. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan and Feb 1941 and Feb and Mar 1947 corrected for snow but left in this record,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
