MONIKIE (CROMBIE RESERVOIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO522404,Long,-2.779155,Lat,56.553136,Elevation,522,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,7.09,3.78,4.7,2.21,2.5,4.67,3.61,3,7,1.67,6.06,3.22,2.68,2.1,1.73,1.61,3.9,3.95,2.23,5.96,2.81,3,1.67,3.28,1.5,2.6,2.25,4.05,3.9,1,2.12,1.45,5.1,5.85,2.39,1.3,4.56,2.45,0.54,2.94,1.7,2.67,2.71,2.78,1.12,4.63,4.16,1.69,3.4,2.86,1.79,2.84,3.9,3.2,3.03,5.25,2.38,3.75,2.44,5.7,2.25,6,1.7,3.3
February,1.23,1.86,1.65,2.67,4.51,6.43,1.33,1.15,3.2,6.26,2.17,2,4.75,3.3,5.58,2.3,3.38,2.17,4.07,1.89,1.6,1.3,2.56,1.42,0.29,2.7,4.32,5.14,2.25,1.2,0.46,0.9,3.44,4.37,1.9,2.09,4.41,5.59,1.11,1.1,1.44,0.84,1.16,2.36,1.74,3.25,0.91,3.09,5.3,3.32,1.84,2.37,2.58,2.6,0.56,3.6,6.48,1.55,4.9,6.45,2.2,1.5,2.45,1.75
March,2.69,1.93,1.51,1.06,0.98,3.6,2.46,1.29,2.44,3.19,2.88,1.13,3.1,2.41,3.79,3.21,2.86,3.71,3.09,6.24,1.79,5.09,2.05,2.38,2.73,1.38,1.2,1.1,4.42,1.81,4.32,0.87,2.76,2.4,2.11,1.45,3.38,2.47,4.37,1.22,1.9,4.44,3.65,1.81,1.01,2.83,3.96,4.64,1.64,3.14,2.04,1.63,1.95,2.15,2.77,2.7,2.03,1.11,1.35,1.6,3.5,5.2,2,2
April,2.74,3.27,2.03,0.48,7,2.92,0.38,1.05,1.08,4.97,3.85,2.39,3.65,3.77,0.48,6.56,1.92,2.6,3.13,1.45,2.55,1.32,4.69,0.55,0.85,0.98,1.5,1.56,1.65,1.22,1.8,3.7,4.12,1.9,2.86,2.62,1.34,2.3,2.33,1.2,2.59,0.75,4.2,3,1.39,0.03,2.98,1.03,0.81,2.5,1.22,0.93,2.1,1.85,1.3,2,3,2.21,4.32,3.35,1.3,1.1,0.45,2.5
May,4.02,2.21,2.04,1.96,1.19,3.83,3.71,4,1.33,0.68,3.31,2.7,2.6,1.05,2.41,2.72,1.35,2.35,5.2,3.67,1.16,1.8,1.6,3.05,2.45,3.25,1.65,4.46,0.48,0.9,1.78,2.48,4.86,2.25,2.4,3.08,1.86,2.82,1.8,6.5,6.04,2.48,2.79,1.68,1.16,1.49,3.85,1.62,1.23,3.59,2.29,3.75,1.16,3.87,3,1.14,2.36,5.05,4.24,2.42,2.7,1.65,3.2,1.8
June,1.19,0.6,3.17,1.96,2.8,4.29,1.55,1.27,4.46,3,3.78,4.18,5.42,1.34,3.47,4.89,2.96,0.4,0.72,1.36,0.69,2.71,1.12,3.76,0.58,4,2.9,2.15,1.71,2.62,5.48,1.52,1.88,2.12,2.19,1.7,2.22,0.66,0.93,1.2,5.86,1.25,1.39,1.52,0.96,3.38,1.56,0.44,1.1,3.71,0.98,0.91,1.57,1.15,0.56,2.5,0.79,2.3,0.63,3.6,2.68,4.3,1.82,2.2
July,5.87,0.58,1.34,1.54,5,1.79,5.24,2.4,3.19,1.63,5.23,1.05,6.11,3.76,3.4,4.9,5.13,6,1.24,4.48,2.2,6.4,3.27,4.58,2.81,2.29,2.7,3.75,4.83,4.46,1.5,0.68,2.03,5.44,1.02,3.3,6.8,1.32,1.68,2.24,2.5,3.12,4.45,5.09,1.66,2.95,0.45,2.78,4.17,7.98,1.98,4.31,0.8,2.7,2.03,4.4,2.51,6,1.62,3.42,2.1,1.5,4.6,2.6
August,2.22,5.59,1.35,1.6,2.27,2.85,3.75,8.21,2.9,3,8.67,6.54,6.57,0.75,5.54,2.72,3.86,2.79,2.74,1.5,4.86,1.96,7.91,2.88,4.7,5.77,4.28,6.56,4.82,1.9,4.85,3.61,0.68,5.96,6.09,3.18,5.13,6.7,5.13,6.04,4.2,2.31,2.22,7.87,1.47,3.97,1.34,3.36,2.16,4.64,6.34,2.8,2.58,4.45,3.67,2.14,6,3.65,2.78,2.44,4.65,5.2,4.7,7.1
September,2.09,5.15,6.07,3.21,2.75,4.8,5.38,3.5,4.4,5,2.44,3.9,2.88,3.85,5.78,4.12,2.96,2.42,3.8,2.68,3.67,0.54,0.6,2.67,5.96,1.72,2.78,0.32,0.98,5,1.7,1.9,4.15,3.76,1.86,1.93,3.6,3.5,2.18,1.4,1.34,6.98,1.57,0.94,1.3,1.25,3.19,0.62,1.8,1.61,2.31,4.15,1.5,2.42,1.6,2.82,3.04,4.56,4.2,3.98,6.65,2.8,0.55,7
October,3,2.18,3.69,3.54,5.29,4.13,3.18,2.89,7.78,4.68,4.75,3.39,0.86,1.63,4.98,5.51,1.97,1.91,2.25,4.88,0.86,2.3,3.5,2.45,3.41,5.5,3.13,5.25,1.8,3.57,3,5.66,1.64,3.44,3,1.68,6.97,1.12,2.2,4.5,5.95,4.45,4.54,1.96,2.44,6.89,2.15,3.68,3.62,5.23,3.33,2.72,2.5,3.34,2.15,1.9,3.2,5.35,2.85,5.73,7,4.3,3.2,3.85
November,0.45,1.38,1.03,2.42,3.03,5.93,2.3,3.85,6.45,7.22,4.08,2.2,2.38,3.43,3.74,4.35,2.41,2.27,2.42,2.46,3.8,7.19,1.03,4.8,4.47,3.08,2.04,1.73,3.55,1.03,2.86,6.22,2.85,6.42,2.12,4.77,1.24,1.05,6.94,5.16,2.15,2.65,0.56,3.9,3.85,1.88,2.55,4,2.31,4.29,2.9,2.18,5.2,2.95,3.2,2.8,2.37,2.7,1.58,5.82,2.68,3.9,4.2,4.3
December,1.19,6.79,2.63,5.25,1.75,5.08,2.27,2.9,2.98,9.5,3.7,3.19,1.26,2.98,3.88,6.67,1.58,3.99,1.36,2.92,2.17,3.25,1.54,2.66,4.4,1.02,2.38,2.81,4.22,8.77,4.77,2.24,6.02,5.1,3.58,4,3.3,2.32,1.6,1.9,3.84,1.75,3.53,4.21,5.98,3.8,1.24,5.51,7.93,5.41,1.26,2.5,5.9,5.1,1.8,2.12,3.9,3.8,2.75,0.32,3.5,3,4.85,3.3
Total,33.78,35.32,31.21,27.9,39.07,50.32,35.16,35.51,47.21,50.8,50.92,35.89,42.26,30.37,44.78,49.56,34.28,34.56,32.25,39.49,28.16,36.86,31.54,34.48,34.15,34.29,31.13,38.88,34.61,33.48,34.64,31.23,39.53,49.01,31.52,31.1,44.81,32.3,30.81,35.4,39.51,33.69,32.77,37.12,24.08,36.35,28.34,32.46,35.47,48.28,28.28,31.09,31.74,35.78,25.67,33.37,38.06,42.03,33.66,44.83,41.21,40.45,33.72,41.7
