"MONIKIE (CROMBIE RESERVOIR)",,,,,,,,,,,,
Grid ref,NO522404,Long,-2.779155,Lat,56.553136,,,,,,,
Station no,5596,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.41,1.64,0.53,1.70,1.45,3.56,3.11,2.63,1.24,5.71,,
February,3.14,0.43,0.93,3.23,2.10,1.62,4.09,2.57,0.15,2.83,,
March,2.99,3.70,0.32,2.97,2.10,1.58,2.80,7.32,1.53,2.83,,
April,2.51,0.97,2.84,1.20,0.92,0.95,1.06,2.29,2.99,2.72,,
May,1.99,2.60,2.16,3.39,2.13,0.73,2.03,2.93,1.08,1.39,,
June,2.36,2.38,1.23,2.45,0.85,4.12,0.94,2.02,2.52,2.60,,
July,3.64,1.84,3.82,2.60,1.09,5.26,5.06,5.53,2.39,3.25,,
August,4.21,4.59,1.80,2.97,0.20,5.47,4.82,2.86,0.62,4.38,,
September,2.33,1.08,2.70,3.18,1.24,4.58,2.30,3.00,0.59,2.59,,
October,0.65,2.51,1.45,6.49,2.10,1.58,2.04,2.11,2.79,8.43,,
November,9.41,2.39,2.74,5.33,2.33,0.73,1.64,0.96,5.60,4.44,,
December,2.28,2.44,3.78,3.36,6.52,3.43,5.20,5.34,6.23,2.35,,
Total,39.92,26.57,24.30,38.87,23.03,33.61,35.09,39.56,27.73,43.52,,
Calc annual,39.92,26.57,24.30,38.87,23.03,33.61,35.09,39.56,27.73,43.52,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
