"MONIKIE, CROMBIE RESERVOIR (OLD)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,5596,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,3.20,3.03,5.25,2.38,3.75,2.44,5.70,2.25,6.00,1.70,3.30,
February,2.60,0.56,3.60,6.48,1.55,4.90,6.45,2.20,1.50,2.45,1.75,
March,2.15,2.77,2.70,2.03,1.11,1.35,1.60,3.50,5.20,2.00,2.00,
April,1.85,1.30,2.00,3.00,2.21,4.32,3.35,1.30,1.10,0.45,2.50,
May,3.87,3.00,1.14,2.36,5.05,4.24,2.42,2.70,1.65,3.20,1.80,
June,1.15,0.56,2.50,0.79,2.30,0.63,3.60,2.68,4.30,1.82,2.20,
July,2.70,2.03,4.40,2.51,6.00,1.62,3.42,2.10,1.50,4.60,2.60,
August,4.45,3.67,2.14,6.00,3.65,2.78,2.44,4.65,5.20,4.70,7.10,
September,2.42,1.60,2.82,3.04,4.56,4.20,3.98,6.65,2.80,0.55,7.00,
October,3.34,2.15,1.90,3.20,5.35,2.85,5.73,7.00,4.30,3.20,3.85,
November,2.95,3.20,2.80,2.37,2.70,1.58,5.82,2.68,3.90,4.20,4.30,
December,5.10,1.80,2.12,3.90,3.80,2.75,0.32,3.50,3.00,4.85,3.30,
Total,35.78,25.67,33.37,38.06,42.03,33.66,44.83,41.21,40.45,33.72,41.70,
Calc annual,35.78,25.67,33.37,38.06,42.03,33.66,44.83,41.21,40.45,33.72,41.70,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,
