COULSDON-COULSDON-RISE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ302587,Long,-0.13241,Lat,51.31317,Elevation,350,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,1.57,4.05,2.56,3.46,2.48,2.31,,5.63,5.36,2.97,5.87,2.5,,,,,,2.78,2.26,4.12,1.35,
February,,,,,,,,,,,1.03,2.67,0.69,3.41,0.5,,2.2,4.85,0.84,1.66,2.16,,,,,,2.42,1.64,2.11,1.45,
March,,,,,,,,,,,1.59,0.37,1.84,4.23,2.81,,1.49,4.33,0.41,1.49,3.66,,,,,1.16,1.38,5.99,0.9,1.04,
April,,,,,,,,,,1.13,1.88,4.9,3.04,0.77,3.32,,1.84,2.91,0.16,2.86,1.95,,,,,1.19,2.55,1.88,1.71,1.79,
May,,,,,,,,,,2.41,3.4,3.19,4.86,1.93,0.71,,0.41,2.28,2.38,1.88,1.07,,,,,2.97,3.29,1.59,1.67,1.75,
June,,,,,,,,,,,0.71,1.92,1.31,1.77,1.07,,2.71,1.81,0.58,1.05,0.43,,,,,2.22,3.84,2.57,3.16,1.17,
July,,,,,,,,,,,2.82,3.13,2.48,2.01,1.57,,4.01,1.02,2.09,2.71,2.6,,,,,3.22,2.5,1.46,1.54,0.72,
August,,,,,,,,,,2.03,3.33,4.9,0.99,0.85,2.13,,2.19,1.44,2.77,3.24,0.04,,,,,2.17,4.66,0.23,4.46,1.45,
September,,,,,,,,,,0.11,3.95,1.08,2.1,2.89,1.69,,2.85,2.21,2.54,2.04,1.6,,,,,2.1,3.34,1.38,1.86,0.33,
October,,,,,,,,,,4.15,1.61,0.79,6.53,2.41,2.53,,2.34,3.28,3.09,6.87,3.48,,,,,3.36,1.44,0.3,1.85,,
November,,,,,,,,,,8.02,5.4,4.06,1.4,1.3,2.98,,4.64,1.96,3.84,5.35,8.59,,,,,0.31,4.84,1.13,1.85,,
December,,,,,,,,,,8.16,2.63,0.93,0.82,0.62,8.51,,3.39,4.41,3.95,1.95,1.75,,,,,3.7,3.35,2.79,4.06,,
Total,,,,,,,,,,,32.4,30.5,29.52,24.67,30.13,,33.7,35.86,25.62,36.97,29.83,,,,,,36.39,23.22,29.29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 19 Marlpit Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read 8.30 am winter and summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929 Feb Mar June July Marked as estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 No return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Station continued at Coulsdon Rise Bottom of new garden backs on to old garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Terminated for duration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Mar Record recommenced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Feb Part estimated Unknown if it was for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Oct Moved to Purley ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is at join of back gardens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
