CHEPSTOW PIERCEFIELD PARK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST528956,Long,-2.683722,Lat,51.657193,Elevation,315,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,5.8,6.12,7.22,3.01,6.7,1.97,3.93,0.46,1.26,3.33,4.75,5.22,3.08,5.4,2.45,1.16,1.58,4.96,3.84,1.95,2.32,3.86,4.73,0.96,2.07,0.65,5.53,5.15,1.89,1.9,5.35,4.74,0.75,5.99,2.25,1.82,1.45,3.29,1.07,4.68,5.16,1.43,2.98,3.35,1.44,3.57,4.87,5.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,1.34,4.04,2.56,6,3.11,3.71,6.07,4.07,4.93,3.34,3.6,2.64,4.19,1.26,0.83,1.01,1.39,0.6,0,2.01,5.11,4.67,0.08,0.48,3.55,0.98,3.42,7.47,0.79,1.83,2.09,4.93,0.72,3.12,1.88,1.75,0.66,4.25,2.76,3.08,1.82,3.84,4.9,4.96,1.33,2.62,4.22,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,4.21,2.62,2.96,4.56,2.15,1.93,1.34,1.67,3.07,2.07,0.78,3.5,1.54,4.08,2.69,3.84,4.29,1.08,1.88,1.06,0.4,3.24,3.61,3.98,3.62,0.72,1.07,1.37,2.34,1.96,5.04,1.74,5.31,1.82,1.27,3.36,4.09,0.91,2.32,5.39,4.95,4.59,1.16,3.71,3.02,2.04,6.46,3.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,0.76,2.39,3.64,3.7,3.34,3.74,2.85,2.25,0.65,4.47,0.84,1.14,1.95,2.74,1.51,2.05,4.93,1.28,2.12,1.08,0.15,2.86,3.05,0.54,3.63,2.19,3.24,1.34,3.7,2.08,2.68,2.12,3.01,1.32,2.53,2.84,2.22,2.16,1.41,0.27,3.73,1.7,1.34,1.44,2.03,2.71,1.75,4.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,2.67,0.77,3.9,0.92,3.52,6.51,3.16,1.91,2.34,1.82,1.92,1.09,3.41,5.73,2.44,2.08,3.11,2,4.83,1.41,1.85,2.81,0.6,0.17,2.58,3.22,2.89,2.41,1.48,1.9,3.82,2.73,0.4,2.7,2.83,1.46,1.13,1.77,1.57,2.42,2.8,2.19,2.97,3.64,2.07,2.22,0.39,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,3.56,1.43,4.82,1.78,2.01,3.37,8.07,4.38,3.55,3.4,3.44,3.62,2.67,1.09,0.74,4.39,0.49,1.97,1.94,1.82,2.66,2.14,2.3,2.24,3.27,1.19,1.72,2.16,3.27,2.99,2.5,1.04,3.25,2.83,2.87,1.2,2.77,3.8,2.09,6.02,1,2.69,0.61,2.68,2.54,1.05,1.02,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,4.74,3.93,1.44,7.53,1.21,3.33,2.41,4.12,6.02,2.01,5.96,4.17,4.57,1.01,3.37,1.67,6.34,2.97,3.18,3.03,3.16,2.61,3.59,3.73,1.07,1.26,0.81,0.72,1.75,1.96,1.36,2.99,4.03,0.61,0.71,2.13,3.32,2.89,2.45,0.25,5.89,0.46,4.67,4.37,2.46,2.31,4.96,3.45,5.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.98,4.8,4.97,3.31,4.03,5.98,5.69,9.8,0.61,6.99,3.84,1.22,3.38,2.43,1.46,1.91,1.83,3.8,2.97,7.36,5.36,2.07,3.29,5.43,1.73,5.48,3.14,2.57,3.3,3.51,3.12,5.11,2.88,3.65,1.8,2.46,4.6,2.55,5.45,2.24,8.08,1.35,2.66,1.7,3.97,7.95,2.18,4.03,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,3.24,2.53,6.24,4.01,7.66,3.56,5.42,5.12,3.75,1.9,3.66,6.35,2.06,5.62,2.7,3.68,1.32,2.4,1.34,2.16,3.11,1.35,3.29,0.94,7.45,3.13,1.9,2.16,1.4,2.68,2.02,3.25,2.51,1.54,0.8,0.77,2.86,3.81,0.43,1.49,0.74,4.42,1.7,1.07,1,3.62,8.97,2.57,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,5.44,3.31,3.51,8.11,3.9,4.19,6.38,1.49,5.61,2.35,7.46,2.75,1.13,4.56,5.23,2.37,1.37,3.13,1.18,8.15,2.7,3.26,4.54,4.31,4.35,1.75,7.04,3.44,4.93,1.81,3.43,9.55,0.78,2.3,6.66,6.53,2.9,6.87,4.27,2.89,4.52,2.97,2.39,4,7.15,4.97,2.22,2.52,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,8.16,2.64,3.55,7.04,5.86,6.14,4.22,0.81,4.23,4.66,5.1,5.47,2.55,4.69,4.11,2.98,7.51,1.19,3.15,3.04,2.83,2.28,5.11,5.23,0.94,2.32,3.36,3.47,3.31,1.1,2.7,1.79,1.75,4.25,3.37,3.21,1.32,1.95,3.93,5.68,2.17,4.78,4.55,2.68,2.55,1.31,2.79,2.26,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,5.18,1.19,4.19,2.54,8.89,3.11,2.78,1.18,4.31,3.03,3.7,0.82,5.43,1.63,4.8,3.21,3.86,1.84,1.28,5.05,1.38,3.56,3.85,2.61,4.27,5.18,4.31,2.9,8.59,5.75,3.31,2.96,2.63,0.86,1.63,6.39,3.52,5.74,4.73,7.3,6,1.34,8.16,8.38,3.45,0.64,4.21,5.04,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,36.74,41.27,57.64,51.52,47.14,48.13,47.94,39.27,36.74,48.15,36.11,36.33,36.78,41.97,26.48,36.76,31.12,24.99,43.4,27.87,27.62,43.25,36.62,28.18,37.84,29.51,33.13,43.18,30.28,28.6,47.13,31.88,26.65,32.75,35.12,30.95,36.13,37.44,31.07,49.26,34.78,40.57,36.16,40.36,33.23,39.54,38.58,42.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
