BLACKDEAN-MOOR-CROOKSTONE,,,,,,,,,,,,,,,,,,,,
Grid ref,SK147880,Long,-1.7804388,Lat,53.388638,Elevation,1460,ft.,,,,,,,,,,,,
Station no,RR7350,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,6.2,2,4.2,3,3.9,2.1,4.6,5.7,3.7,,,,,
February,,,,,,,4,2.7,4.2,4.2,5.2,7.2,2,2,2.6,,,,,
March,,,,,,,4.2,4.8,3.9,4.6,1.5,3,6,5.1,6.42,,,,,
April,,,,,,,1.6,3.4,3.2,3.4,4.8,4.6,1.5,4.6,2.5,,,,,
May,,,,,,,3.8,5.3,4.4,2.7,3.5,1.2,3.5,2.9,3.7,,,,,
June,,,,,,,1.8,9.4,2.3,3.7,3.9,4,5.1,3.3,4.1,,,,,
July,,,,,,,3.5,3.2,6.2,6.5,6.1,0.3,6.4,1.5,5.1,,,,,
August,,,,,,,4.4,4.9,4.2,2.6,7.5,2.7,10.3,2.2,3.6,,,,,
September,,,,,,,2.1,1,3.8,3.8,0.5,3.1,2.8,2.5,3.5,,,,,
October,,,,,,,7,7,1.7,7.2,3.5,3.9,4.7,4.1,3.4,,,,,
November,,,,,,,6,3.9,4.4,2.4,4.6,5.5,4.3,6.4,6.8,,,,,
December,,,,,,,3.8,4.6,3.3,8.6,7.9,8.78,8.3,2.7,7.7,,,,,
Total,,41.4,40,56.7,36.7,41.1,48.4,52.2,45.8,52.7,52.9,46.38,59.5,43,53.12,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR in near Crookstone Hill at stated altitude.,,,,,,,,,,,,,,,,,,,,
NGR could be up to 350m NNE or up to 250m WSW,,,,,,,,,,,,,,,,,,,,
