BLACKDEAN MOOR CROOKSTONE NO 49,,,,,,,,,,,,
Grid ref,SK147880,Long,-1.780439,Lat,53.388638,,,,,,,
Station no,RR7350,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,6.20,2.00,4.20,3.00,,
February,,,,,,,4.00,2.70,4.20,4.20,,
March,,,,,,,4.20,4.80,3.90,4.60,,
April,,,,,,,1.60,3.40,3.20,3.40,,
May,,,,,,,3.80,5.30,4.40,2.70,,
June,,,,,,,1.80,9.40,2.30,3.70,,
July,,,,,,,3.50,3.20,6.20,6.50,,
August,,,,,,,4.40,4.90,4.20,2.60,,
September,,,,,,,2.10,1.00,3.80,3.80,,
October,,,,,,,7.00,7.00,1.70,7.20,,
November,,,,,,,6.00,3.90,4.40,2.40,,
December,,,,,,,3.80,4.60,3.30,8.60,,
Total,,41.40,40.00,56.70,36.70,,48.40,52.20,45.80,52.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,48.40,52.20,45.80,52.70,,
Difference,NaN,41.40,40.00,56.70,36.70,NaN,0.00,0.00,0.00,0.00,,
