"SOUTHAMPTON (EASTLEIGH)",,,,,,,,,,,,
Grid ref,SU449168,Long,-1.362212,Lat,50.948894,,,,,,,
Station no,693/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,1.91,1.00,1.79,3.13,4.52,2.29,4.17,3.12,3.86,,
February,,0.62,1.50,2.83,1.66,0.11,3.61,2.39,0.13,2.75,,
March,,2.20,0.50,2.81,1.09,0.63,1.88,1.59,3.37,1.74,,
April,,1.51,1.70,0.25,0.37,2.05,0.07,0.77,2.13,1.04,,
May,,2.67,2.36,1.65,4.11,0.16,1.17,1.96,1.17,1.19,,
June,,1.05,1.96,3.37,2.34,2.13,1.36,3.15,0.58,2.74,,
July,,0.37,3.82,2.57,1.52,2.60,3.66,1.41,1.74,3.40,,
August,,3.38,1.50,3.39,1.10,2.89,2.98,3.99,2.41,5.49,,
September,,3.09,3.08,2.83,1.44,3.74,2.46,4.89,0.07,6.51,,
October,,5.14,3.76,3.16,4.27,2.07,2.11,2.55,2.50,7.33,,
November,,3.76,1.21,5.10,2.54,0.68,2.40,2.92,3.22,4.67,,
December,,2.38,0.83,2.76,3.91,5.18,2.23,4.25,6.17,,,
Total,,28.08,23.22,32.51,27.48,26.76,26.22,34.04,26.61,,,
Calc annual,0.00,28.08,23.22,32.51,27.48,26.76,26.22,34.04,26.61,40.72,,
Difference,NaN,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,,
