EWHURST CONEYHURST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ081420,Long,-0.455274,Lat,51.16704,Elevation,561,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.49,3.3,2.4,0.73,2.55,4.98,2.38,0.81,3.09,0.64,3.13,4.25,1.28,0.96,2.8,5.48,1.69,6.01,1.16,1.73,1.22,2.57,1.75,3.18,3.9,0.84,4.3,1.4,1.8,3.99,5.33,3.44,2.93,4.14,2.01,3.15,3.3,4.6,2.14,6.48,1.64,4.4,1.76,2.97,2.15,2.47,1.12,4.98,5.04,3.04,5.75,2.82,2.79,3.32,6.31,2.18,2.97,2.9,,,,1.08,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.47,1.03,0.21,1.37,4.03,2.17,0.22,0.4,3.36,1.35,3.03,5.86,2.34,1.63,2.11,4.05,0.98,2.83,1.69,1.08,0.6,4.1,1.69,2.5,1.16,5.32,5.56,4.78,1.33,1.62,2.99,0.64,0.19,2.87,5.36,0.78,4.27,3.22,5.36,2.54,0.88,1,2.14,0.68,3.69,0.23,4.75,2.27,4.33,0.64,1.56,3.07,3.4,0.92,1.72,0.9,2.35,2.63,,,,5.36,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.34,2.3,2.73,1.7,0.41,1.69,2.4,4,4.68,1.63,0.53,1.08,2.09,1.97,3.15,1.63,4.37,2.07,1.03,3.37,5.22,1.62,2.18,4.38,2.92,5,0.8,4.86,2.06,1.14,4.8,2.08,1.19,2.47,3.19,1.63,0.77,0.33,4.45,2.54,0.03,1.97,0.6,1.85,3.23,2.84,0.36,1.99,4.02,0.37,1.59,3.86,3.28,2.48,0.62,0.27,1.47,1.3,,,,1.58,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,2.77,3.27,0.78,1.21,0.26,2.5,2.35,0.74,1.76,1.02,3.08,1.11,2.31,1.24,2.62,1.74,1.36,0.72,4.75,3.39,2.46,1.8,2,0.08,2.97,1.23,1.3,0.96,2.2,4.37,3.14,3.48,1.34,3.58,3.14,4.18,2.9,3.52,2.34,3,0.71,2.18,4.34,2.91,0.91,2.54,3.14,2.03,3.18,0.11,3.03,1.96,1.55,1.71,1.42,1.55,1.34,3.07,,,,2.87,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,3.39,1.48,2.92,1.25,0.41,2.1,0.46,0.4,1.49,3.71,1.5,1.1,0.57,2.1,3.64,3.63,0.68,1.75,2.26,2.76,2.24,2.72,1.39,1.25,2.4,0.89,2.98,1.93,1.05,1.29,0.1,1.14,1.98,1.13,3.88,4.17,3.35,1.22,1.22,1.83,2.57,2.91,2.83,4.88,2.29,0.56,1.51,0.47,3.08,1.46,2.1,1.28,2.03,3.51,3.09,0.84,2.27,3.27,,,,1.44,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.96,2.96,1.7,2.45,1.05,2.7,0.26,3.6,1.64,1.63,1.29,2.98,1.71,3.91,4.27,0.8,5.58,2.27,2.28,3.28,3.67,3.24,2.88,2.9,0.53,0.7,1.05,2.7,1.88,1.34,0.84,2.32,0.15,1.16,0.52,3.22,0.09,3.86,4.92,2.8,1.62,0.76,1.63,1.91,1.68,1.21,4.35,3.5,2.28,0.83,1.67,0.39,2.24,0.18,1.73,1.88,2.99,3.1,,,,1.8,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.54,4.41,3.21,2.54,3.84,5.77,5.55,1.81,2.48,0.62,1.4,1.42,1.58,1.44,4.03,1.12,0.65,0.47,1.54,3,2.92,3.02,1.15,1.94,2.93,1.96,4.69,1.56,4.44,4.55,2.08,6.22,0.36,5.53,1.67,5.54,4.95,1.49,2.56,1.82,1.79,3.61,3.93,4.26,1.74,2.24,1.67,4.7,1.41,1.88,3.88,3.34,3.15,2.5,2.22,2.16,4.35,2.2,,,,3.82,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.54,3.05,6.84,4.55,0.96,2.84,2.65,2.7,3.69,0.97,0.56,3.62,1.73,3.74,6.32,1.9,3.44,0.71,2.74,4.81,2.84,3.36,1.12,6.53,1.79,1.42,1.7,4.2,5.46,1.23,2.72,1.69,1.71,2.65,3,3.34,2.89,1.95,5.34,3.1,2.26,4.66,4.58,1.22,1.18,2.29,3.6,0.72,1.1,1.51,2.79,0.06,4.76,3.04,1.83,3.38,2.08,6.25,,,,3.11,5.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.01,1.23,2.11,2.92,1.28,2.21,0.85,7.76,2.73,0.98,3.22,1.21,2.7,0.69,4.5,1.98,2.25,1.65,0.61,1.35,2.74,0.84,1.4,3.95,2.2,1.28,2.12,1.82,1.65,5.33,1.9,2.91,0.91,2.14,2.46,4.73,3.07,1.02,6.4,1.33,0.17,3.08,2.68,2.54,2.34,2.13,4.58,2,1.87,1.76,0.98,1.97,0.44,2.78,2.19,2.66,2.61,4.19,,,,3.72,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,6.14,1.11,7.91,5.76,4.36,4.82,3.33,4.28,0.58,3.6,2.26,2.39,2.86,2.59,9.06,2.47,1.85,4.52,6.76,2.53,7.27,4.23,4.75,3.45,5.39,1.89,3.26,5.51,3.68,1.34,0.6,2.53,0.77,1.14,7.47,4.46,3.64,2.19,2.51,7.19,3.92,1.55,0.65,6.14,2.37,2.14,3.97,2.23,2.53,3.41,5.8,3.78,1.4,3.98,3.97,4.61,4.33,,,,,0.46,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
