CERRIG-Y-DRUIDION,,,,,,,,,,,,,,,,,,,,
Grid ref,SH954487,Long,-3.5609964,Lat,53.025332,Elevation,940,ft.,,,,,,,,,,,,
Station no,RR4034,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,3.71,5.91,3.15,1.59,2.04,9.37,3.64,2.99,1.77,2.43,,,,,
February,,,,,,6.66,1.03,2.28,1.99,2.78,1.17,0.23,2.53,5.27,3.2,,,,,
March,,,,,,1.93,6.16,2.35,3.18,3.34,2.77,2.58,2.76,0.75,2.26,,,,,
April,,,,,,2.2,3.55,1.95,2.51,6.84,1.55,3.47,1.89,0.56,0.9,,,,,
May,,,,,,2.9,7.25,2.66,1.77,3.96,3.12,4.48,3.96,1.58,2.28,,,,,
June,,,,,,1.5,2.11,0.44,3.31,0.6,2.11,3.53,3.83,2.8,0.91,,,,,
July,,,,,4.01,1.85,4.13,2.41,7.58,2.99,2.87,3.2,3.66,2.35,1.15,,,,,
August,,,,,1.14,3.22,2.4,4.89,4.75,5.26,5.35,5.18,3.8,4.11,1.69,,,,,
September,,,,,3.36,6.35,5,4.52,1.15,2.23,1.86,4.44,3.76,1.74,0.27,,,,,
October,,,,,2.98,8.16,6.49,4.42,3.68,6.08,3.17,7.26,8.5,1.92,3.17,,,,,
November,,,,,4.64,3.91,4.58,3.25,6.57,2.59,8.42,3.94,2.15,1.64,1.25,,,,,
December,,,,,3.17,2.27,8.59,4.69,3.92,3.24,1.51,9.09,1.05,2.74,1.34,,,,,
Total,,,,,,44.66,57.2,37.01,42,41.95,43.27,51.04,40.88,27.23,20.85,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is based on the relationship to the church. Altitudes match. Captain Mainwaring the observer lived 1 mile SW of this NGR before moving to Bwich-y-beudy. Not sure of his connection to the centre of the village,,,,,,,,,,,,,,,,,,,,
"1893 and 1894 have a note ""Record impossibly small""",,,,,,,,,,,,,,,,,,,,
