GLASTONBURY (HARTLAKE FARM),,,,,,,,,,,,
Grid ref,ST513412,Long,-2.697914,Lat,51.167958,,,,,,,
Station no,2011/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,0.98,1.60,2.55,2.84,2.87,2.07,2.66,4.78,,
February,,,1.81,2.99,1.56,0.06,3.57,3.35,0.24,2.11,,
March,,,0.90,3.18,1.19,0.82,2.19,0.83,3.86,1.38,,
April,,,2.99,0.22,1.62,1.34,0.10,0.76,2.13,1.83,,
May,,,1.39,1.47,3.06,0.62,2.72,2.23,1.68,1.28,,
June,,,1.47,3.50,2.60,1.96,2.18,4.13,1.10,3.24,,
July,,,2.19,3.58,0.44,1.57,4.67,1.27,1.88,3.13,,
August,,,3.47,5.21,0.94,2.89,2.82,3.49,1.18,5.78,,
September,,,3.60,3.76,1.58,2.85,2.23,4.77,0.22,4.43,,
October,,4.03,2.19,3.43,1.54,2.77,3.15,2.90,2.70,5.36,,
November,,3.48,1.65,6.10,2.94,0.80,1.27,3.07,3.21,3.32,,
December,,2.92,0.65,3.34,4.32,2.92,100.00,3.18,4.79,4.07,,
Total,,,23.29,38.38,24.34,21.44,-999.00,32.05,25.65,40.71,,
Calc annual,0.00,10.43,23.29,38.38,24.34,21.44,127.77,32.05,25.65,40.71,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,-1126.77,-0.00,-0.00,0.00,,
