HAZLEHEAD (TOWN BROOK INTAKE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SE177037,Long,-1.734454,Lat,53.529665,Elevation,1037,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3158/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,6.97,6.69,3.81,3.85,4.8,6.35,8.77,5.5,7.1,5.05,12.04,2.72,3.69,5.42,6.43,2.38,4.63,3.66,7.12,3.87,5.28,5.68,7.27
February,,,,,,,,2.5,4.32,3.8,6,1.77,4.28,2.82,6.32,8.05,5.6,4.6,3.46,8.83,5.36,1.79,2.54,4.18,3.85,2.31,4.16,6.95,0.3,4.35
March,,,,,,,,1.26,4.62,4.14,7.03,2.81,2.49,0.87,1.68,2.7,7.96,2.39,1.88,2.48,6.43,2.56,3.32,3.79,3.56,2.15,3.44,3.34,2.04,2.91
April,,,,,,,,0.68,2.77,3.77,3.32,2.43,3.31,3.3,3,2.3,5.49,2.83,5.21,5.59,3.22,2.76,3.84,0.76,1.59,3.17,0.51,1.41,6.31,2.8
May,,,,,,,,3.65,2.57,0.91,3.25,3.86,3.26,3.55,4.35,2.7,4.1,2.38,2.85,3.18,4.86,2.56,2.85,4.95,5.05,1.39,1.5,4.28,1.35,2.56
June,,,,,,,,3.84,3.11,0.8,1.15,1.26,3.2,2.4,3.75,3.9,2.96,5.21,0.68,1.53,1.18,2.44,4.56,2.08,3.45,4.02,1.14,5.78,2.59,1.53
July,,,,,,,,4.47,6.88,4.33,2.04,4.51,2.01,3.01,2.05,4.57,2.2,1.43,3.89,2.6,2.92,2.29,4.96,4.55,0.91,9.03,3.93,5.52,2.99,6.03
August,,,,,,,,3.44,1.93,1.52,5.35,6.72,4.82,4.38,3.5,5.02,0.4,5.13,3.22,3.76,6.02,3.48,4.53,6.92,0.77,9.15,6.25,3.31,0.87,4.99
September,,,,,,,,3,2.4,4.07,0.51,2.8,4.5,6.65,2.5,7.55,2.18,1.78,1.89,6.59,3,5.31,3.84,5.17,1.71,4.61,5.89,4.4,0.24,4.06
October,,,,,,,4.01,11.28,3.87,6.18,5.89,6.17,2.53,5.32,8.55,1.97,1.21,2.8,4.93,2.81,1.27,7.41,2.65,7.61,3.31,3.26,5,4.14,4.25,8.5
November,,,,,,,2.53,6.18,9.05,9.72,4.14,1.79,4.3,9.02,0.65,9.98,7.11,2.11,8.22,7.62,12.02,3,4.52,8.69,2.57,2.34,3.53,1.6,5.9,7.05
December,,,,,,,3.8,4.8,4.75,5.07,3.02,4.4,3.23,5.6,3.6,5.3,6.22,5.13,10.48,3.16,9.48,4.38,2.54,8.3,6.49,6.54,6.52,5.83,9.71,7
Total,,,,,,,,52.07,52.96,48.12,45.55,43.32,44.28,55.69,45.45,61.14,50.48,47.83,49.43,51.84,61.18,44.41,42.53,61.63,36.92,55.09,45.74,51.84,42.23,59.05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb estimated for snow but total considered correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
