"HAZLEHEAD (TOWN BROOK INTAKE)",,,,,,,,,,,,
Grid ref,SE177037,Long,-1.734454,Lat,53.529665,,,,,,,
Station no,3158/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.42,6.43,2.38,4.63,3.66,7.12,3.87,5.28,5.68,7.27,,
February,5.36,1.79,2.54,4.18,3.85,2.31,4.16,6.95,0.30,4.35,,
March,6.43,2.56,3.32,3.79,3.56,2.15,3.44,3.34,2.04,2.91,,
April,3.22,2.76,3.84,0.76,1.59,3.17,0.51,1.41,6.31,2.80,,
May,4.86,2.56,2.85,4.95,5.05,1.39,1.50,4.28,1.35,2.56,,
June,1.18,2.44,4.56,2.08,3.45,4.02,1.14,5.78,2.59,1.53,,
July,2.92,2.29,4.96,4.55,0.91,9.03,3.93,5.52,2.99,6.03,,
August,6.02,3.48,4.53,6.92,0.77,9.15,6.25,3.31,0.87,4.99,,
September,3.00,5.31,3.84,5.17,1.71,4.61,5.89,4.40,0.24,4.06,,
October,1.27,7.41,2.65,7.61,3.31,3.26,5.00,4.14,4.25,8.50,,
November,12.02,3.00,4.52,8.69,2.57,2.34,3.53,1.60,5.90,7.05,,
December,9.48,4.38,2.54,8.30,6.49,6.54,6.52,5.83,9.71,7.00,,
Total,61.18,44.41,42.53,61.63,36.92,55.09,45.74,51.84,42.23,59.05,,
Calc annual,61.18,44.41,42.53,61.63,36.92,55.09,45.74,51.84,42.23,59.05,,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
