SHEEPSTOR REDSTONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX558682,Long,-4.034445,Lat,50.495807,Elevation,760,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,
January,,,,,,,,9.45,8.3,11.75,4.45,4.77,12.66,,,,,,,,,,,,,,,,,,,,,4.99,6.93,6.94,2.46,4.97,1.77,8.23,9.18,4.28,3.05,6.34,11.8,3.28,11.32,2.97,3.54,2.86,7.18,2.8,7.02,12.81,3.42,6.81,5.54,2.86,5.74,9.6,12.57,8.24,7.94,4.68,8.66,7.78,9.8,8.45,11.71,3.62,12.2,5.9,9.16,4.06,7.58,1.75,9.26,10.15,8.17,9.01,3.4,3.69,7.48,12.46,6.39,4.32,8.67,7.44,13.47,2.92,2.57,8.02,7.01,1.9,2.64,7.9,6.69,6.77,6.92,9.64,6.59,,,,
February,,,,,,,,6.43,3.39,6.76,8.75,6,8.2,,,,,,,,,,,,,,,,,,,,,9.29,4.4,0.16,1.4,5.67,2.74,6.12,9.73,2.02,2.39,4.33,10.91,2.23,6.54,3.51,4.12,0.86,8.31,4.71,8.66,3.06,11.93,14.43,9.23,1.9,5.47,6.93,1.77,0.37,6.68,13.82,3.05,7.84,5.56,5.42,5.2,2.87,2.91,5.82,0.06,5.57,0.34,7.15,6.36,10.27,2.41,4.56,7.22,7.93,0.84,3.25,2.13,5.36,6.55,2.09,3.28,3.04,9.76,7.17,1.33,2.87,6.88,3.81,0.32,8.37,6.1,0.34,7.07,,,,
March,,,,,,,,8.7,5.83,4.19,4.05,2.73,5.6,,,,,,,,,,,,,,,,,,,,,0.36,2.69,5.56,5.87,7.09,2.33,1.18,2.94,3.1,4.05,7.58,3.37,9.33,2.61,2.22,6.2,8.4,1.76,5.28,10.86,8.25,12.1,1.94,3.64,4.01,3.47,7.89,6.13,4.66,5.72,3.66,2.92,1.05,1.33,7.13,8.2,0.97,4.19,1.85,4.13,6.85,5.55,1.59,5.44,5.88,0.74,2.64,4.64,5.6,5.69,1.81,0.25,2.72,3.78,11.11,3.39,2.33,5.33,7.35,7.62,1.35,6.32,2.22,2.59,7.48,2.26,8.18,4.48,,,,
April,,,,,,,,5.54,5.63,2.45,0.92,8.04,3.62,,,,,,,,,,,,,,,,,,,,,0.7,4.43,5.13,0.83,4.83,3.36,4.85,2.91,5.13,2.85,2.47,3.62,5.09,1.58,9.95,3.58,4.17,4.84,4.4,0.43,8.18,3.29,2.38,2.63,2.21,1.87,3.62,6.58,1.14,5.27,4.95,6.18,4.41,3.26,3.23,2.34,0.99,5.68,4.19,4.12,4.75,4.74,6.87,2.92,4.13,0.15,4.05,3.92,1.34,3.77,1.91,3.69,1.75,2.24,4.75,3.64,3.4,4.03,3.28,5.96,4.37,0.85,3.01,1.6,0.54,1.54,6.22,4.78,,,,
May,,,,,,,,5.15,4.12,7.55,3.27,0.67,2.42,,,,,,,,,,,,,,,,,,,,,2.74,4.54,1.02,0.1,2.38,4.16,3.99,3.3,2.58,1.95,3.69,5.65,1.11,5.93,4.84,3.42,2.03,3.6,1.8,2.61,5.71,3.49,3.99,1.98,2.31,1.9,2.3,3.28,3.54,2.37,4.33,6.72,6.63,2.9,0.94,2.03,5.87,3.85,4.44,6.06,2.32,2.85,3.23,0.67,3.59,4.35,1.31,2.18,3.49,8.44,5.53,1.14,4.6,6.16,4.04,3.46,4.17,2.54,3.73,3.37,5.89,5.37,5.71,1.57,3.4,5.93,2.16,2.53,,,,
June,,,,,,,,1.5,1.16,0.72,0.87,2.03,5.6,,,,,,,,,,,,,,,,,,,,,1.32,3.21,2.34,2.62,2.85,2.93,2.12,6.47,2.88,2.64,1.54,2.21,3.48,2.17,5.54,1.14,3.23,2.57,3.91,8.94,2.38,2.15,2.36,3.98,3.43,2.6,1.29,2.62,0.14,2.01,1.04,3.92,0.03,4.44,4.82,4.43,3.03,2.64,6.32,4.9,2.85,2.5,6.75,2.12,1.97,2.2,4.36,1.04,3.25,0.64,2.76,5.16,7.22,6.81,4.87,3.33,1.44,1.9,2.14,3.02,4.94,6.06,4.35,3.87,2.27,5.48,2.2,3.1,,,,
July,,,,,,,,7.47,0.35,1.35,1.77,9.3,4.07,,,,,,,,,,,,,,,,,,,,,6.06,5.48,5.64,3.42,1.3,0.69,1.86,2.48,1.82,2.87,5.07,7.59,1.3,2.19,2.94,4.43,6.32,5.46,1.28,3.99,0.57,7.83,6.19,2.2,3.29,5.31,2.26,7.77,2.84,7.52,1.89,7.52,5.04,2.52,7.01,2.87,3.29,4.75,6.59,5.14,4.4,1.92,1.2,10.68,4.19,4.25,11.38,5.3,2.01,4.04,4.11,5.91,4.92,3.28,4.4,3.39,3.59,7.24,3.27,2.23,6.2,6.01,2.74,6.42,7.32,7.14,2.35,7.12,,,,
August,,,,,,,,2.51,6.82,1.24,1.86,2.45,2.27,,,,,,,,,,,,,,,,,,,,,2.39,4.12,5.72,3.34,7.02,5.1,1.92,4.59,5.29,4.48,6.22,4.48,7.14,5.18,3.24,5.59,3.55,9.18,4.55,15.59,1.77,5.72,2.73,5.09,7.83,3.71,4.73,2.67,4.57,6.09,5.15,7.82,5.86,3.61,4.93,3.04,6.78,6.61,5.68,1.7,3.87,6.5,2.45,1.27,1.12,6.24,5.29,0.3,7.23,6.84,5.15,3.92,4.08,7.55,1.15,6.46,3.09,9.46,9.97,7.03,4.27,5.4,0.44,5.58,5.65,8.41,2.35,5.02,,,,
September,,,,,,,,3,8.37,7.3,2.3,7.23,7.32,,,,,,,,,,,,,,,,,,,,,4,4.11,0.85,8.36,4.56,2.85,2.94,2.9,4.99,2.29,5.47,4.39,2.65,1.81,1.93,3.27,1.87,0.5,3.59,2.33,5.32,4.47,1.72,3.02,3.65,10.32,3.78,3.47,1.49,5.44,5.35,7.29,7.49,1.54,9.28,1.71,1.03,8.15,3.44,8.14,2.17,6.01,7.82,3.9,4.54,2.56,0.53,2.92,0.68,5.62,6.34,4.45,5.71,10.14,3.62,4.9,4.89,10.06,8.19,4.64,5.89,8.09,3.27,9.92,6.83,9,0.29,8.21,,,,
October,,,,,,,,8.82,7.51,4.03,8.35,6.18,8.88,,,,,,,,,,,,,,,,,,,,,4.06,7.34,4.87,5.3,2.02,8.08,5.05,4.52,4.26,4.47,13.26,3.1,3.44,10.2,10.54,2.95,13.27,8.7,6.63,9.01,5.82,4.55,6.55,10.94,9.53,4.62,3.21,6.18,1.87,2.63,10.46,9.34,8.82,3.8,5.29,10.69,10.45,7.81,1.57,11.61,5.34,6.24,9.62,2.67,4.67,8.21,6.56,6.06,2,5.55,6.76,8.91,7.66,4.17,2.32,7.39,11.96,3.07,1.69,7.58,5.91,7.23,4.27,3.68,5.01,6.88,7.42,10.85,,,,
