"SHEEPSTOR (REDSTONE)",,,,,,,,,,,,
Grid ref,SX558682,Long,-4.034445,Lat,50.495807,,,,,,,
Station no,1643,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,9.18,4.28,3.05,6.34,11.80,3.28,11.32,2.97,3.54,2.86,,
February,9.73,2.02,2.39,4.33,10.91,2.23,6.54,3.51,4.12,0.86,,
March,2.94,3.10,4.05,7.58,3.37,9.33,2.61,2.22,6.20,8.40,,
April,2.91,5.13,2.85,2.47,3.62,5.09,1.58,9.95,3.58,4.17,,
May,3.30,2.58,1.95,3.69,5.65,1.11,5.93,4.84,3.42,2.03,,
June,6.47,2.88,2.64,1.54,2.21,3.48,2.17,5.54,1.14,3.23,,
July,2.48,1.82,2.87,5.07,7.59,1.30,2.19,2.94,4.43,6.32,,
August,4.59,5.29,4.48,6.22,4.48,7.14,5.18,3.24,5.59,3.55,,
September,2.90,4.99,2.29,5.47,4.39,2.65,1.81,1.93,3.27,1.87,,
October,4.52,4.26,4.47,13.26,3.10,3.44,10.20,10.54,2.95,13.27,,
November,6.59,1.00,8.40,3.54,3.39,9.43,4.80,5.53,3.06,2.04,,
December,10.28,9.32,6.14,9.66,7.15,3.20,4.82,8.68,6.52,9.23,,
Total,65.89,46.68,45.58,69.17,67.66,51.68,59.15,61.89,47.82,57.83,,
Calc annual,65.89,46.67,45.58,69.17,67.66,51.68,59.15,61.89,47.82,57.83,,
Difference,0.00,0.01,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,,
