"SHEEPSTOR (REDSTONE)",,,,,,,,,,,,
Grid ref,SX558682,Long,-4.034445,Lat,50.495807,,,,,,,
Station no,1643,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.02,7.01,1.90,2.64,7.90,6.69,6.77,6.92,9.64,6.59,,
February,7.17,1.33,2.87,6.88,3.81,0.32,8.37,6.10,0.34,7.07,,
March,7.35,7.62,1.35,6.32,2.22,2.59,7.48,2.26,8.18,4.48,,
April,3.28,5.96,4.37,0.85,3.01,1.60,0.54,1.54,6.22,4.78,,
May,3.73,3.37,5.89,5.37,5.71,1.57,3.40,5.93,2.16,2.53,,
June,2.14,3.02,4.94,6.06,4.35,3.87,2.27,5.48,2.20,3.10,,
July,3.27,2.23,6.20,6.01,2.74,6.42,7.32,7.14,2.35,7.12,,
August,9.97,7.03,4.27,5.40,0.44,5.58,5.65,8.41,2.35,5.02,,
September,8.19,4.64,5.89,8.09,3.27,9.92,6.83,9.00,0.29,8.21,,
October,1.69,7.58,5.91,7.23,4.27,3.68,5.01,6.88,7.42,10.85,,
November,10.79,5.55,5.09,12.56,6.46,2.67,3.54,4.99,11.14,11.72,,
December,6.75,6.27,1.29,5.95,10.09,9.18,5.56,7.45,13.29,6.91,,
Total,72.35,61.61,49.97,73.36,54.27,54.09,62.74,72.10,65.58,78.38,,
Calc annual,72.35,61.61,49.97,73.36,54.27,54.09,62.74,72.10,65.58,78.38,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
