MORVERN (DRIMNIN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM553550,Long,-5.990623,Lat,56.622737,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,,10.7,6.28,7.66,4.71,10.72,2.03,5.22,2.17,6.81,7.94,8.9,4.62,6.39,7.62,8.67,5.79,10.03,5.17,6.61,7.68,7.73,5.95,6.12,6.62,5.36,7.97,7.58,3.14,5.52,4.62,6.97,9.61,7.2,8.15,6.18,6.17,8.72,10.63,11.16,2.2,9.94,6.28,9.34,5.28,6.66,5.1,3.59,10.51,8.25,4.06,1.56,0.77,5.74,7,7.58,6.46,11.25,6.43,8.46,9.64,5.83,9.39,6.02,5.12,7.36,4.36,4.69,10.58,7.63,3.63,3.35
February,,,,,,,,,,4.37,1.08,2.45,2.17,6.72,10.56,0.85,5.41,3.94,7.83,4.69,4.75,3.78,2.31,10.33,5.95,5.56,4.95,5.39,7.11,4.85,8.37,8.08,4.43,5.35,9.9,8.26,6.83,1.11,8.79,1.02,8.14,2.94,7.78,4.88,2.31,4.87,6.01,4.64,5.14,2.14,0.76,5.54,0.34,5.27,1.58,6.94,2.8,4.7,5.1,7.01,4.01,5.13,2.99,7.04,2.39,8.53,4.23,0.08,5.49,5.97,5.35,5.15,3.26,4.48,5.6,4.81,3.32,4.49,3.88,2.36,4.82
March,,,,,,,,,,3.85,6.4,3.81,1.94,3.16,6.79,4.76,7.75,8.07,3.51,6.27,0.82,3.18,5.59,9.54,3.32,7.63,3.28,4.92,7.18,1.37,4.11,2.78,5.13,9.31,5.92,4.72,0.9,2.07,2.43,4.85,6.46,8.93,2.58,2.74,0.82,2.58,4.96,4.45,6.48,1.11,4.81,1.59,3.45,2.71,2.43,3.25,3.66,1.38,7.61,4.47,5.03,1.73,3.36,2.89,2.43,4.91,3.36,2.88,5.32,3.77,3.89,4.47,6.71,2.34,5.19,1.32,2.2,5.62,2.48,5.49,1.82
April,,,,,,,,,,4.11,3.17,1.79,1.64,2.17,2.02,3.51,4.03,3.19,3.61,5.25,4.74,4.76,3.97,2.42,6.61,2.72,3.41,3.6,1.85,4.1,6.46,6,4.43,5.09,4.56,5.8,3.24,3.26,1.74,5.01,2.21,3.94,2.57,4.11,4.17,7.23,3,5.51,3.46,3.6,2.42,2.87,4.71,3.32,3.69,3.12,1.38,2.78,1.11,2.15,2.52,2.9,1.92,5.81,2.67,2.56,2.99,8.09,3.39,9.98,5.06,4.65,2.75,3.87,1.76,4.75,2.68,2.81,2.83,4.42,4.29
May,,,,,,,,,,4.6,2.27,1.61,6.04,3.45,3.91,0.78,1.7,4.07,5.07,2.91,4.18,1.38,4.07,3.02,3.92,3.16,4.72,3.48,3.82,4.44,3.8,4.18,3.04,4.53,2.71,0.83,5.31,3.79,3.54,1.94,7.02,3.32,6.22,2.76,3.97,7.27,4.17,3.19,0.9,4.46,2.56,4.27,1.81,2.7,4.46,0.99,4.48,2.45,3.61,2.29,1.77,1.16,2.2,2.85,4.84,4.03,0.94,3.52,1.95,4.61,1.99,1,2.06,3.64,4.68,2.88,4.48,1.46,3.38,1.24,2.6
June,,,,,,,,,,3.42,6.31,2.03,4.34,0.94,3.75,1.48,5.68,3.85,3.53,3.11,4.2,4.56,1.62,2.73,4.44,1.15,1.28,4.81,4.25,1.15,1.74,2.38,5.29,4.3,2.58,0.94,1.94,3.14,3.34,6.26,2.52,1.69,4.2,3.89,3.15,2.26,2.59,5,4.62,3.7,4.25,4.02,2.7,3.39,4.13,3.04,1.73,2.92,7.3,2.81,1.73,1.27,3.4,5.35,4.04,5.53,5,6.45,4.46,2.65,4.24,1.95,4.39,2.41,4.59,4.21,3.82,3.96,2.03,4.21,3.48
July,,,,,,,,,,2.06,6.15,2.38,4.09,6.04,4.59,4.37,4.39,5.45,3.68,4.11,4.48,2.07,3.24,5.59,2.85,4.93,5.63,3.49,4.12,5.28,3.36,5.18,4.29,0.88,2.84,5.62,2.74,1.48,5.49,1.89,4.53,4.02,4.37,5.43,5.19,3.21,4.05,3.33,4.31,3.94,2.19,4.68,4.71,5.11,3.38,3.4,4.01,4.82,6.74,7.08,4.65,2.86,5.46,3.64,1.93,4.05,7.04,4.24,4.69,2.55,6.97,6.22,4.94,6.67,3.9,0.74,7.94,5.43,3.5,6.9,4.28
August,,,,,,,,,,6.86,6.46,6.2,6.35,3.98,5.86,6.02,7.53,4.73,6.32,2.43,5.78,6.62,4.28,8.13,6.68,4.58,3.75,8.98,5.55,4.31,7.37,4.59,4.27,2.62,4.94,2.62,3.97,4.92,5.69,6.13,4.31,3.88,3.74,7.98,5.94,3.98,3.87,4.91,3.64,7.61,9.04,1.7,3.48,6.75,4.93,6.05,3.96,3.92,3.92,2.48,5.5,6.95,7.66,6.88,3.12,2.84,6.07,0.23,5.18,6.71,8.01,6.01,6.42,6.01,4.2,1.73,6.18,5.73,6.39,2.71,4.59
September,,,,,,,,,,3.51,6.39,8.51,9.44,6.67,0.14,5.85,6.89,5.68,8.13,8.68,6.39,5.3,7.3,4.64,5.28,7.18,5.19,2.03,9.12,3.44,2.92,5.83,4.7,3.8,4.89,1.16,3.59,5.62,7.25,6.71,4.25,3.7,3.1,8.52,6.68,4.36,4.6,5.66,4.31,3.89,3.94,2.57,5.42,2.32,8.61,8.74,4.27,5.97,5.9,3.21,6.24,3.98,10.14,6.2,4.85,6.3,6.27,6.66,9.41,3.59,14.42,6.27,5,6.69,8.58,8.04,5.24,4.4,5.16,2.91,4
October,,,,,,,,,,4.64,9.69,8.83,4.91,11.37,2.76,5.57,5.39,3.92,5.13,5.32,8.27,8.02,5.44,13.16,4.93,7.07,7.61,3.37,1.99,9.15,3.97,4.11,8.12,6.45,3.31,2.36,8.27,11.51,8.25,2.57,4.64,5.74,4.19,12.61,4.1,4.76,7.07,7.19,9.09,9.7,9.12,5.99,9.42,8.06,10.19,10.46,6.6,3.75,10.95,2.58,7.85,5.99,7.98,15.55,7.58,6.14,0.82,4.14,8.97,9.35,8.71,3.28,7.14,6.83,9.83,8.31,6.39,8.11,9.3,8.03,2.29
