ALPORT-MOOR-NO-38A,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK106943,Long,-1.8418755,Lat,53.445363,Elevation,1790,ft.,,,,,,,,,,,,,
Station no,2706,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,7.4,4.7,4.8,4.2,5.4,11.3,2.8,6.1,8.8,6.1,3.1,,,,,,,
February,,,,6.4,1.66,6.72,5,2.9,6.5,0.8,1.2,5.1,0.4,6.2,,,,,,,
March,,,,2.6,1.04,3.68,2.2,6,2.8,1.5,2.8,0.8,3.6,2,,,,,,,
April,,,,4.1,2.8,2.9,3.2,6.8,2.1,2.4,3.9,5.7,6.1,2,,,,,,,
May,,,,5.8,5.9,4.7,5.5,1.8,1.6,3.6,3.1,3.5,5.6,2.6,,,,,,,
June,,,,3,4,0.05,5.4,8,6.7,1.9,3.6,7.7,0.8,3.7,,,,,,,
July,,,,6.5,5.3,4.2,5.4,3.5,2.5,4,9.7,7.1,5.3,3.1,,,,,,,
August,,,,6.3,8,5.9,6.4,6.5,5.7,5.5,7.9,8.2,2.5,1.8,,,,,,,
September,,,,6.6,5.3,5.9,5,9.9,1.1,2.4,7.3,6.9,5.6,1.8,,,,,,,
October,,,,5.6,7.4,5.88,5,5.2,7.3,7,8.3,2.8,10.2,6.7,,,,,,,
November,,,,7.8,3.3,2.92,6.2,6,7.8,10,6.4,6.5,4.6,4.1,,,,,,,
December,,,,6.5,5.8,5.59,4.6,1.5,2.8,7.7,4.2,3,2.3,0.9,,,,,,,
Total,,,,68.6,55.2,53.24,58.1,63.5,58.2,49.6,64.5,66.1,53.1,38,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is the same as No 38; this gauge was initilally erected as a check gauge for 38 and it appears to be in the same location. This check gauge moved 70 yards N in 1934 to become gauge 38B.,,,,,,,,,,,,,,,,,,,,,
