ALPORT-MOOR-NO-38B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK106943,Long,-1.8418755,Lat,53.445363,Elevation,1790,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,4.7,5.46,5.26,7.18,8.15,8.83,,,,8.23,10.43,,7.87,4.68,14.75,5.54,5.25,8.75,6.85,4.43,6.38,3.74,,,6.36,6.26,7.67
February,,,,0.6,9.13,3.98,9.9,3.51,6.36,,8.92,,5.86,4.03,6.61,11.16,3.3,5.23,3.45,9.28,8.23,6.26,3.3,4.7,3.08,3.09,5.14,10.26,1.24,
March,,,,7.46,3.25,6.52,5.82,4.15,4.87,4.85,7.07,4.57,2.29,1.34,2.23,2.76,9.57,2.68,3.27,3.66,8.18,3.84,4.43,4.46,5.38,2.78,4.85,4.17,3.09,2.07
April,,,,3.8,4.43,2.62,5.11,1.27,3.89,4.19,3.67,2.84,3.87,4.76,3.16,2.68,4.34,3.81,6.43,5.76,3.76,4.67,4.49,1.47,3.02,3.31,1.23,2.44,5.24,3.85
May,,,,4.02,0.87,2.12,3.21,4.97,3.37,1.24,3.94,4.92,4.11,6.07,4.06,2.73,4.57,2.69,3.46,2.83,3.84,3.16,3.06,4.83,5.68,1.97,1.88,5.27,3.47,2.88
June,,,,3.29,4.98,4.26,2.6,6.27,4.36,1.42,3.59,1.38,5.26,4.94,5.36,6.26,3.43,7.14,1.43,3.84,2.12,4.96,5.19,4.54,5.11,5.67,1.84,6.63,3.12,2.28
July,,,,5.5,3.46,8.02,5.58,7.96,10.07,7.29,4.45,7.06,3.05,5.69,2.68,8.37,3.66,3.92,3.76,4.93,5.16,4.57,8.75,9.97,1.29,9.44,7.18,8.25,5.82,10.37
August,,,,6,2.82,3.78,1.64,5.33,3.31,4.49,9.56,5.93,8.54,5.89,4.65,6.43,0.37,6.68,4.76,5.42,7.94,4.26,6.67,9.73,0.92,13.76,9.17,4.86,0.65,
September,,,,4.08,7.74,9.17,2.45,3.83,3.08,5.86,1.29,4.73,6.27,9.07,3.53,8.74,3.04,4.22,2.68,9.07,4.08,7.72,3.94,6.87,3.84,5.79,13.54,6.98,0.29,6.08
October,,,,9.51,13.32,7.48,3.69,10.53,4.94,6.18,8.03,10.91,4.03,7.78,8.53,2.63,2.08,4.63,5.87,3.16,1.56,7.43,3.07,10.56,4.64,4.16,7.14,5.94,5.38,8.17
November,,,,4.3,8.97,9.05,3.11,7.78,10.37,10.63,5.36,1.97,6.28,10.65,1.29,11.17,7.91,3.54,10.64,9.57,13.08,5.22,4.76,10.17,3.53,3.34,3.52,2.42,6.82,8.14
December,,,,9.17,6.29,8.06,4.35,8.05,6.17,7.79,,5.45,3.81,5.53,4.81,6.87,7.71,4.61,11.17,3.84,8.76,6.18,3.38,10.86,6.97,8.34,8.42,5.83,9.83,5.83
Total,,,,62.43,70.72,70.32,54.64,71.8,69.62,,,,61.6,76.18,,77.67,54.66,63.9,62.46,66.61,75.46,65.12,55.47,84.54,47.2,,,69.41,51.21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is Alport Moor anf the altitudes are a close match; the gauge could be up to 100m S or SW to better match the altitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
