HADDINGTON (NEILSON PARK),,,,,,,,,,
Grid ref,NT513736,Long,-2.781467,Lat,55.952948,Elevation,161,ft,,
Station no,5103/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,0.49,2.29,2.1,1.57,1.92,0.88,0.52,2.94
February,,,0.78,1.1,1.3,2.33,2.24,1.56,0.25,1.57
March,,,0.3,0.99,1.2,0.77,1.72,1.38,0.38,0.93
April,,,1.81,1.05,0.78,0.71,1.13,2.27,1.35,0.49
May,,,1.64,4.97,1.78,0.53,0.8,2.03,0.32,0.73
June,,2.87,1.33,2.05,0.98,2.32,1.02,2.43,1.83,0.67
July,,1.56,4.44,2.04,2.04,4.3,3.96,4.95,1.81,2.22
August,,3.37,2.06,4.52,0.72,7.7,4.28,2.87,0.28,4.2
September,,2.36,2.68,2.64,1.17,3.14,1.38,2.35,0.55,1.76
October,,1.46,1.27,4.99,1.59,1.41,1.6,0.76,1.6,3.06
November,,3.14,2.41,2.03,0.78,0.65,1.45,0.75,4.63,2.15
December,,2.51,2.35,2.32,3.99,2.22,2.06,3.76,2.72,1.87
Total,,,21.56,30.99,18.43,27.65,23.56,25.99,16.24,22.59
,,,,,,,,,,
258,HADDINGTON NO 2 ,1952-1982,,,,,,,,
