ESKDALEMUIR (PENGRAIN),,,,,,,,,,,,,,,,,,,,
Grid ref,NT199054,Long,-3.264302,Lat,55.336094,Elevation,1118,ft,,,,,,,,,,,,
Station no,5041/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,5.33,8.3,7.2,9.7,7.32,4.74,8.42,,3.31,5.56,,,,,,
February,,,,,8.92,3.82,1.52,6.38,7.15,6.04,4.63,,1.9,4.84,,,,,,
March,,,,,5.05,7.19,6.09,6.42,2.57,7.2,4.64,4.45,1.2,4.99,,,,,,
April,,,,,3.2,2.46,11.8,4.73,6.97,6.89,6.14,4.07,4.94,1.72,,,,,,
May,,,,,7.44,1.39,3.55,2.79,3.28,2.71,2.6,2.98,3.7,6.57,,,,,,
June,,,,,7.43,6.04,5.61,8.35,1.89,6.87,3.32,5.64,2.4,6.95,,,,,,
July,,,,,5.02,5.97,5.04,4.51,3.5,7.2,5.56,3.73,11.7,7.52,,,,,,
August,,,,,2.21,6.8,0.03,10.23,6.67,10.6,9.03,,6.58,6.87,,,,,,
September,,,,,7.35,10.35,6.16,8.05,3.51,14.75,7.17,,6.27,10.12,,,,,,
October,,,,,7.65,0.89,1.97,6.53,8.69,5.63,0.8,6.1,4.34,14.65,,,,,,
November,,,,,0.67,12.28,10.02,5.91,8.28,5.55,12.36,4.13,9.69,,,,,,,
December,,,,7.24,3.77,6.87,3.4,8.5,13.36,2.4,8,5.58,5.14,,,,,,,
Total,,,,,64.04,72.36,62.39,82.1,73.19,80.58,72.67,,61.17,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"1952 Jan 7.5, Feb 1.56, Aug 6.4, Sep 2.86 and total 55.00 all estimated therefore removed",,,,,,,,,,,,,,,,,,,,
1954 Nov Dec total 100s transcribed so removed,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
13111,PENGRAIN ,NT1998805399,01/01/1944,31/12/1954,,,,,,,,,,,,,,,,
