"ESKDALEMUIR (PENGRAIN)",,,,,,,,,,,,
Grid ref,NT199054,Long,-3.264302,Lat,55.336094,,,,,,,
Station no,5041/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.42,7.50,3.31,5.56,,,,,,,,
February,4.63,1.56,1.90,4.84,,,,,,,,
March,4.64,4.45,1.20,4.99,,,,,,,,
April,6.14,4.07,4.94,1.72,,,,,,,,
May,2.60,2.98,3.70,6.57,,,,,,,,
June,3.32,5.64,2.40,6.95,,,,,,,,
July,5.56,3.73,11.70,7.52,,,,,,,,
August,9.03,6.40,6.58,6.87,,,,,,,,
September,7.17,2.86,6.27,10.12,,,,,,,,
October,0.80,6.10,4.34,14.65,,,,,,,,
November,12.36,4.13,9.69,-999.00,,,,,,,,
December,8.00,5.58,5.14,-999.00,,,,,,,,
Total,72.67,55.00,61.17,-999.00,,,,,,,,
Calc annual,72.67,55.00,61.17,69.79,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,-1068.79,NaN,NaN,NaN,NaN,NaN,NaN,,
