HAWESWATER (BURN BANKS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY503159,Long,-2.769602,Lat,54.535918,Elevation,835,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3677/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,18.53,14.83,12.96,3.32,11.07,11.42,13.11,12.42,2.32,1.62,7.31,13.96,8.42,5.62,10.4,11.07,14.28,4.16,4.53,6.81,7.13,2.33,6.04,7.39,4.88,12.62,8.82,6.14,10.79
February,,0.08,6,0.46,11.74,4.2,8.91,3.91,9.05,2.39,9.29,2.5,5.73,2.81,7.88,5.21,2.2,6.93,7.58,10.12,7.98,0.77,2.05,5.9,2.69,0.84,7,9.21,1.16,11.21
March,,4.7,5.79,4.81,2.55,4.15,2.71,4.94,6.51,7.31,3.85,5.24,2.78,0.85,5.49,4.37,8.57,7.23,1.74,5.02,5.24,3.8,1.12,6.43,1.99,2.35,5.35,1.44,5.05,1.73
April,,7.64,2.4,4.63,5.97,1.7,3.93,0.55,2.22,3.15,1.85,5.75,4.8,3.24,3.62,1.71,13.28,4.03,7.63,4.47,6.52,5.13,5.34,0.93,1.46,1.16,1.13,1.92,6.92,6.03
May,,4.78,3.6,5.38,0.82,1.86,3.11,5.19,1.03,1.6,3.55,6.43,6.38,2,5.52,1.9,3.33,2.78,3.73,2.83,2.24,3.27,3.48,5.93,6.19,3.12,3.43,6.72,1.8,2.4
June,,3.85,2.5,2.67,5.82,4.07,2.07,8.39,4.6,1.18,0.11,0.94,5.33,4.48,5.71,5.28,5.07,8.44,0.86,1.81,1.62,3.67,3,4.73,3.46,3.26,1.49,5.41,5.6,4.08
July,,6.38,4.4,1.96,2.08,7.14,2.63,9.68,9.54,5.98,1.3,3.49,3.98,3.23,3.62,5.19,3.8,3.28,2.66,5.09,3.44,1.77,6.42,3.25,2.39,4.8,3.3,4.62,4.19,5.48
August,,1.29,3.32,5.72,3.07,2.28,2.71,3.07,3.8,1.66,8.48,6.89,8.7,4.89,2.79,7.63,0.16,7.5,3.31,9.69,6.86,6.05,4.9,6.58,2.48,9.23,7.19,4.27,0.9,4.19
September,,6,2.51,8.74,11.85,6.88,4.97,3.09,1.94,5.68,1.32,7.55,6.71,6.76,6.48,11.33,5.68,7.26,1.33,13.69,10.71,6.32,8.41,12.11,3.08,5,6.44,7.41,1.01,3.67
October,,11.97,6.39,12.09,11.17,6.67,4.29,18.17,3.78,11.91,6.99,6.67,8.42,7.84,9,1.35,1.25,4.75,9.07,6.68,0.84,9.71,4.46,17.39,4.58,4.86,7.69,6.78,7.95,5.01
November,,6,2.79,0.93,7.66,7.67,1.7,13.32,12.91,9.96,5.32,1.96,4.64,12.57,0.37,13.8,10.13,5.25,13.04,6.84,15.65,3.93,10.05,17.88,3.95,2.38,2.42,1.01,10.69,17.43
December,,14.89,0.67,13.14,4.07,15.28,5.8,7.52,4.02,7,5.21,11.25,4.57,7.93,4.76,9.1,3.13,11.8,12.72,3.58,15.13,5.88,4.56,9.68,9.6,10.15,8.49,5.93,13.01,8.86
Total,,86.11,55.2,73.49,70.12,72.97,54.25,90.94,71.82,60.14,48.89,65.98,76,65.02,60.86,77.27,67.67,83.53,67.83,74.35,83.04,57.43,56.12,96.85,49.26,52.03,66.55,63.54,64.42,80.88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1933 April, May and June classed as estimated but no reasons offered and total accepted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Feb part estimated for snow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
