GREAT SANKEY (LIVERPOOL ROAD),,,,,,,,,,
Grid ref,SJ552889,Long,-2.675171,Lat,53.395019,Elevation,65,ft,,
Station no,2814/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.33,3.02,2.28,3.81,1.8,2.65,2.94,4.56
February,,,1.23,2.77,2.33,0.5,1.88,5.17,0.28,1.55
March,,,1.29,2.05,1.81,1.13,2.76,1.31,1.22,1.64
April,,,2.55,0.73,1.8,3.26,0.63,0.76,2.89,1.69
May,,,1.86,2.3,3.1,0.99,1.38,3.2,1.92,2.55
June,,,1.44,2.85,3.34,1.96,1.8,4.52,3.47,2.35
July,,,4.1,4.45,0.55,5.54,3.84,4.76,3,3.58
August,,,3.1,3.91,1.12,9.08,4.75,1.93,0.92,3.73
September,,3.35,3.23,3.62,2.56,2.66,6.11,3.33,0.16,3.22
October,,3.82,1.43,6.05,2.32,2.16,3.26,2.93,3.14,3.34
November,,2.7,2.74,5.09,1.48,1.42,1.54,1.59,3.84,5.06
December,,2.97,1.1,4.62,4.05,2.61,3.16,3.93,5.25,3.32
Total,,,25.4,41.46,26.74,35.12,32.91,36.08,29.03,36.59
