FELTON-UPPER-TOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST525660,Long,-2.684057,Lat,51.39104,Elevation,550,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,1986/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,0.83,4.15,5.46,5.57,5.06,2.43,3.74,3.5,6.47,2.38,2.44,3.29,2.27,6.48,1.15,0.98,4.57,2.84,0.95,2.51,3.12,-999,3.71,3.33,4.38,4.1
February,,,,,2.68,2.76,5.61,1.43,2.12,2.04,3.48,0.27,2.81,1.02,3.93,3.22,1.84,2.07,1.8,6.74,4.65,1.07,1.65,3.64,1.92,-999,4.19,4.82,0.38,2.62
March,,,,,0.6,2.9,3.33,0.46,1.37,2.78,3.64,2.39,1.4,0.42,1.33,1.31,6.84,1.97,1.92,1.52,4.81,3.47,1.3,3.93,1.26,1.13,3.1,1.13,3.59,2.63
April,,,,,4.66,2.96,2.5,0.26,3.37,2.76,1.44,1.28,1.18,2.98,0.9,2.57,2.55,2.03,2.34,2.82,4.47,1.83,4.33,0.85,1.37,1.77,0.21,1.38,3.41,1.96
May,,,,,1.48,1.96,2.95,2.21,1.04,2.87,2.12,6.01,2.75,1.25,3.66,4.59,3.11,4.64,4.56,2.39,2.97,4.01,1.8,2.47,5.18,0.73,2,3.73,1.65,1.29
June,,,,,5.34,3.42,1.52,1.59,2.51,0.97,2.93,0.29,2.09,2.55,4.06,3.99,1.91,2.9,0.79,1.82,1.06,3.8,2.61,4.71,3.19,3.03,2.15,3.64,1.96,2.97
July,,,,,2.43,5.93,5,3.42,4.55,6.85,1.9,3.08,1.8,2.81,2,1.85,2.98,1.76,1.34,5.32,1.37,0.98,4.61,4.75,0.23,2.76,4.01,2.82,3.32,5.63
August,,,,,2.12,0.69,2.3,3.58,4.62,0.39,6.21,4.99,3.52,2.98,2.99,6.32,1.12,5.53,2.4,8.02,5.4,6.39,4.94,3.37,0.6,6.92,3.35,4.59,1.69,4.37
September,,,,,7.73,3.58,1.76,2.87,1.12,2.07,0.61,2.68,2.54,3.88,2.4,5.62,2.11,2.91,2.47,6.17,2.96,3.58,3.99,7.35,1.94,4.26,4.76,5.12,0.35,4.34
October,,,,,6.41,2.02,3.96,6.43,3.11,4.43,2.21,5.31,3.1,5.61,3.99,1.12,0.6,5.01,7.66,2.14,0.93,5.52,2.14,4.99,1.58,1.63,4.75,3.82,4.49,7.47
November,,,,,7.1,4.16,2.04,5.2,7.85,9.16,2.03,1.79,2.81,6.76,0.66,6.13,3.22,2.23,4.38,7.11,7.78,3.94,2.19,7.4,4.58,0.9,3.3,3.08,5.37,5.58
December,,,,,4.89,3.2,2.05,3.35,2.36,1.94,2.57,3.97,2.74,3.61,5.56,3.4,3.4,5.52,2.64,2.22,2.7,2.72,0.99,2.76,4.53,4.41,3.26,4.35,7.66,5.9
Total,,,,,46.27,37.73,38.48,36.37,39.08,38.69,32.88,35.56,33.21,36.25,33.92,43.41,31.95,43.05,33.45,47.25,43.67,40.15,31.5,48.73,29.5,32.09,38.79,41.81,38.25,48.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer a CE and no details as to where gauge was so NGR taken from sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Sept Gauge tested In good working order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note in BR from 1948 Gauge overexposed but note crossed out on 1950 sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Nov 1 Inspection Gauge sound Measure certified Site satisfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Jan Feb Apportioned Combined total 4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Upper Town SRC_ID 9588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935-1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
