BATCHWORTH-PUMPING-STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ063940,Long,-0.465446,Lat,51.634775,Elevation,156,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,900/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.94,1.97,1.56,0.68,4.17,4.32,3.48,5.1,2.61,2.31,3.02,4.65,1.52,2.32,2.33,2.19,4.68,1.04,0.74,3.09,1.84,0.82,0.86,2.73,4.32,1.64,3.15,2.77,2.41
February,,0.1,4.86,0.18,2.61,1.92,4.82,0.44,1.1,2.04,2.22,0.76,1.2,1.23,2.07,3.1,1.21,1.36,1.15,4.48,4.38,0.66,1.77,2.19,1.8,0.1,3.86,2.85,0.07,2.5
March,,1.53,2.92,2.3,0.48,1.18,3.31,0.35,1.53,2.93,3.02,1.92,0.45,0.23,0.57,1.36,6.46,0.75,1.12,1.22,3.59,2.77,0.62,2.55,1.08,0.81,1.5,1.49,2.33,1.38
April,,2.37,1.07,2.31,3.38,1.18,3.09,0.1,3.28,1.47,2.23,1.32,0.99,1.97,1.25,1.83,1.4,1.45,1.61,2.12,2.87,1.87,2.4,0.33,0.54,1.05,0.21,1.54,2.45,0.66
May,,4.44,2,0.56,1.43,0.47,2.88,1.49,1.38,1.67,1.78,3.31,2.39,1.22,2.87,4.08,1.62,3.42,1.66,1.87,1.96,1.87,1.42,2.29,4.71,0.25,1.31,2.72,0.54,2.26
June,,0.8,1.21,1.19,3.76,4.78,2.34,0.51,1.78,1.29,1.9,0.45,1.47,1.78,2.1,2.73,2.25,3.62,0.73,1.48,1.66,1.02,1.88,4.19,2.15,2.36,1.36,3.98,1.4,2.48
July,,2.65,1.44,1.44,0.59,4.47,1.17,1.67,2.6,2.75,5.33,1.97,2.21,1.45,3.57,2.33,3.24,1.02,1.35,5.59,1.08,0.6,4.27,3.16,0.46,3.21,3.67,3.34,3.02,3.82
August,,3.66,0.7,2.64,0.92,0.45,1.54,2.47,2.28,0,4.54,2.99,1.55,3.13,0.83,4.25,0.39,3.04,1.33,3.39,3.9,4.25,2.31,2.61,0.97,4.89,2.5,3.33,1.61,2.87
September,,2.59,1.72,1.64,3.94,3.06,2.44,1.46,1.58,0.96,0.49,1.44,2.46,2.94,2.18,3.85,1.25,1.7,0.76,2.97,3.58,3.35,2.16,1.99,2.06,2.35,3.15,5.39,0.03,4.63
October,,4.62,1.4,1.79,3.05,1.95,2.32,3.21,4.09,3.17,0.84,3.66,3.56,4.17,2.93,0.92,0.14,2.06,6.33,0.42,1.01,3.1,2.64,2.39,3.8,2.2,2.09,2.89,2.29,6.85
November,,1.75,1.13,1.67,4.99,3.54,1.08,3.49,5.45,7.37,2.71,1.78,1.56,4.21,0.35,5.11,1.17,2.02,2.45,4.78,5.29,2.97,1.54,4.84,2.61,0.54,2.23,2.46,2.27,4.36
December,1.06,0.49,0.49,5.41,3.11,1.98,3.21,3.17,1.12,1.37,1.75,2.97,1.32,1.45,3.33,2.67,2.81,2.57,1.43,1.76,1.52,2.91,0.51,1.84,2.17,4.18,2.4,3.26,4.22,3.44
Total,,26.94,20.91,22.69,28.94,29.15,32.52,21.84,31.29,27.63,29.12,25.59,23.81,25.3,24.37,34.56,24.13,27.69,20.96,30.82,33.93,27.21,22.34,29.24,25.08,26.26,25.92,36.4,23,37.66
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
