LUMSDEN LAW NO3 WEST MEDIUM,,,,,,,,,,,,,,,,,,,,
Grid ref,NT718053,Long,-2.446156,Lat,55.340923,Elevation,1260,ft,,,,,,,,,,,,
Station no,RR7538,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,2.25,1.97,1.65,5.31,4,2.83,,,,,,,,
February,,,,,,,1.91,2.94,2.12,3.43,3.82,1.17,,,,,,,,
March,,,,,,,4.18,5.89,0.99,2.88,0.81,2.76,,,,,,,,
April,,,,,,,1.85,2.45,3.44,4.9,2.98,2.26,,,,,,,,
May,,,,,,,1.01,1.56,2.33,3.03,2.77,2.52,,,,,,,,
June,,,,,,,3.01,3.77,1.86,1.29,5.62,1.99,,,,,,,,
July,,,,,,,3.56,2.41,1.11,4.3,2.52,2.41,,,,,,,,
August,,,,,,,2.29,5.82,3.29,1.2,5.87,4.07,,,,,,,,
September,,,,,,,5.59,2.83,1.88,3.57,2.27,2.55,,,,,,,,
October,,,,,,,6.27,2.66,6.89,3.18,5.21,2.7,,,,,,,,
November,,,,,,,1.33,4.06,3.99,4.5,5.52,4.44,,,,,,,,
December,,,,,,,8.06,6.84,6.38,3.12,7.2,2.99,,,,,,,,
Total,,,,,,,41.31,43.2,35.93,40.71,48.59,32.69,,,,,,,,
