BLANDFORD-FIELDS-OAK,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST885064,Long,-2.16405,Lat,50.85768,Elevation,145,ft,,,,,,,,,,,,,
Station no,1617,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,5.15,1.9,4.66,4.7,5.26,2.76,5.61,1.54,5.67,2.58,3.5,3.1,3.07,,,,,,
February,,,3,7.93,0.61,5.46,2.18,3.94,3.01,1.38,0.81,2.27,0.09,5.08,,,,,,,
March,,,4.14,2.05,1.83,1.02,0.64,3.68,2.32,0.19,1.39,1.28,1.94,4.36,,,,,,,
April,,,3.94,3.64,3.57,2.87,4.01,2.66,1.63,0.72,2.46,2.59,3.28,1.53,,,,,,,
May,,,0.56,2.07,6.25,3.86,2.29,1.21,1.77,2.57,2.29,3.82,4.72,1.22,,,,,,,
June,,,1,0.61,1.95,0.03,3.2,2.52,2.71,1.47,0.78,3.37,2.86,1.67,,,,,,,
July,,,4.64,0.78,3.83,2.75,1.16,3.22,1.61,1.54,2.21,5.91,2.92,2.07,,,,,,,
August,,,3.66,2.66,2.93,3.14,0.87,3.45,3.45,1.48,3.49,4.69,0.77,1.14,,,,,,,
September,,,1.98,3.51,3.67,4.07,0.61,5.46,2.12,0.36,3.88,1.34,4.26,2.56,,,,,,,
October,,,1.86,6.91,5.06,4.96,3.46,3.04,6.9,4.71,2.55,0.54,6.28,2.44,,,,,,,
November,,,1.87,2.49,4.2,3.35,10.3,3.49,3.81,10.35,5.28,5.77,2.68,0.84,,,,,,,
December,,,5.34,3.61,6.9,3.94,0.5,4.66,3.01,9.27,4.7,1.5,1.78,1.06,,,,,,,
Total,,,37.14,38.16,45.46,40.15,34.48,40.09,37.95,35.58,35.51,35.66,35.08,27.07,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Fields Oak Salisbury St Blandford,,,,,,,,,,,,,,,,,,,,,
