GREAT-BROMLEY-BROUGHTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM067247,Long,1.0033,Lat,51.8826,Elevation,115,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,2.73,1.12,2.56,1.23,3.39,1.53,1.71,1.83,0.59,1.15,1.23,3.18,4.17,3.77,2.88,5.47,1.16,2.34,2.39,4.18,1.47,1.57,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,0.73,2.11,2.09,2.82,1.15,0.38,0.63,2.3,0.44,0.95,0.25,2.81,2.32,3.36,0.59,0.77,1.81,1.83,0.88,0.73,1.45,1.62,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,0.84,1,0.09,2.22,2.2,0.02,1.48,0.39,0.99,1.46,1.85,0.61,0.63,2.79,0.41,1.88,2.63,2.59,2.52,0.39,0.32,1.14,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,1.18,3.17,1.9,3.76,1.89,1.01,1.84,1.82,2.62,2.08,0.6,2,2.68,1.18,2.58,0.33,2.36,1.61,1.19,0.53,0.75,1.63,0.71,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.18,3.67,2.12,1.06,0.99,1.55,1.79,2.24,2.23,3.75,1.22,1.14,1.4,0.39,2.12,1.51,1.53,0.74,1.43,2.23,1.07,0.64,2.3,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.99,2.42,0.38,2.45,3.73,2.54,0.95,0.71,1.69,0.49,2.44,0.58,3.12,3.64,1.86,0.53,1.63,0.18,0.61,1.45,1.71,1.75,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.27,4.47,1.93,2.28,3.71,1.64,2.44,3.29,3.25,3.37,0.9,0.77,0.32,2.48,2.08,0.89,1.92,2.8,2.29,2.06,1.19,2.8,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,1.6,2.45,2,1.01,3.03,2.3,1.24,2.49,3.04,0.86,0.65,1.31,1.54,0.57,1.21,0.87,3.07,0.06,4.01,1.06,0.93,2.34,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,1.36,2.32,2.28,0.93,3.57,0.78,0.36,4.07,1.43,1.52,2.58,1.64,3.32,2.59,2.03,2.29,0.37,1.46,0.24,1.52,2.72,3.21,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,4.83,4.33,2.56,2.72,2.24,2.24,2.63,1.19,0.52,5.18,1.38,1.53,2.56,1.67,1.72,2.85,7.98,2.39,1.84,3.65,1.48,4.4,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
