STROUD-RODBOROUGH-COMMON,,,,,,,,,,
Grid ref,SO853027,Long,-2.2142102,Lat,51.722826,Elevation,600,ft,,
Station no,2155/5,,,,,,,,,
,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.13,3.09,0.82,4.2,4.51,3.82,,
February,,,4.58,0.35,3.39,3.07,5.08,1.17,,
March,,,2.26,2.41,0.46,2.85,4.45,0.19,,
April,,,1.12,2.19,5.25,2.59,4.04,0.02,,
May,,,2.13,1.31,1.07,0.78,1.71,2.37,,
June,,,1.33,1.1,3.93,2.21,1.06,2.08,,
July,5.47,,1.68,4.19,0.46,5.73,3.07,3.17,,
August,7.31,,0.88,1.7,2,0.43,0.79,3.76,,
September,2.7,,2.78,2.34,5.13,3.35,3,2.87,,
October,0.66,,3.49,2.35,4.72,1.51,3.11,4.08,,
November,5.47,,0.79,1.58,6.17,3.81,1.75,3.79,,
December,1.59,,0.48,6.91,4.03,4.01,2.79,4.25,,
Total,,,23.65,29.52,37.43,34.54,35.36,31.57,,
