DAWLISH-BLYTH,,,,,,,,,,
Grid ref,SX964768,Long,-3.4643,Lat,50.58174,Elevation,44,ft,,
Station no,RR8936,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,6.13,1.31,1.06,1.53
February,,,,,,,3.71,1.29,1.63,0.46
March,,,,,,,0.84,0.64,3.28,5.29
April,,,,,,,1.31,4.66,2.76,2.04
May,,,,,,,1.9,3.09,1.7,1.25
June,,,,,,,2.26,1.78,0.47,4.04
July,,,,,,,0.96,2.29,1.03,1.96
August,,,,,,,1.87,0.51,3.27,1.8
September,,,,,,,0.92,0.5,2.69,1.66
October,,,,,,,4.95,7.07,2.73,5.18
November,,,,,,4.86,2.75,3.19,1.06,0.64
December,,,,,,0.76,1.8,5,3.7,5.04
Total,,,,,,,29.4,31.33,25.38,30.89
,,,,,,,,,,
1910 Jan 1 Old Howard gauge replaced with new Snowdon,,,,,,,,,,
