BRIGHTON W.W. GOLDSTONE BOTTOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ285065,Long,-0.176205,Lat,50.843764,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,
January,,3.5,5.73,3.55,,4.4,,,,,,,,,,,5.29,,,,,,0.97,1.91,4.16,1.9,1.04,1.84,0.82,2.77,3.19,0.63,1.01,2.45,4.12,0.89,4.8,1,1.48,1.12,2.6,1.29,2.85,4.8,0.8,4.27,1.59,1.24,3.72,4.91,4.12,2.77,4.09,1.55,2.3,3.85,3.61,2.23,4.97,1.34,3.13,2.21,2.57,2.19,2.37,0.82,4,5.55,4.16,5.9,2.62,3.51,3.08,6.09,2.43,1.85,2.61,2.02,5.48,1.83,1.28,3.5,2.42,1.32,1.25,3.66,5.4,2.09,4.44,3.95,3.14,,,,,,,,,
February,,1.43,2.55,1.47,1.57,1.37,,,,,,,,,,,0.74,,,,,,1.14,3.6,2.18,0.11,0.26,2.94,1.06,2.82,4.19,1.42,1.14,1.17,2.82,0.58,2.31,1.49,1.15,0.29,3.61,1.36,2.36,1.1,3.98,4.23,3.84,1.44,0.9,2.45,0.56,0.51,2.58,4.29,0.44,3.6,3.38,3.35,1.39,1.54,1.4,1.94,0.14,2.04,0.05,4.46,2.13,5.2,0.68,1.52,3,3.55,0.61,1.53,1,2.12,3.12,2.09,1.65,1.15,4.63,5.5,0.9,1.09,2.82,1.74,0.17,4.66,2.63,0.04,3.13,,,,,,,,,
March,,1.23,2.3,1.58,0.34,0.66,,,,,,,,,,,1.52,,,,,,1.2,0.37,1.44,1.89,2.72,4.41,0.63,0.64,0.76,1.11,1.5,2.07,0.73,4.22,1.08,0.94,1.91,3.64,1.53,1.75,4.28,2.67,4.94,0.74,2.78,1.66,1.11,4.28,2.02,1.22,1.52,2.32,1.46,0.46,0.34,3.38,1.99,0.08,1.37,0.49,1.26,2.22,3.05,0.35,1.48,3.4,0.59,1.59,2.96,3.11,3.69,0.4,0.1,1.73,1.52,6.4,0.92,1.31,1.52,3.52,2.68,0.25,3.53,0.77,0.36,1.61,1.92,1.67,1.82,,,,,,,,,
April,,4.31,0.78,0.67,2.25,1.48,,,,,,,,,,,2.26,,,,,,1.32,0.05,2.29,2.35,0.55,2.14,0.78,2.17,1.08,1.86,0.82,2.09,1.43,1.69,0.82,3.11,1.73,1.02,1.94,1.54,0.01,3.01,1.59,1.4,1.15,1.74,1.93,2.19,2.83,0.87,2.87,3.58,2.51,3.42,3.18,1.81,2.57,0.47,1.78,2.34,2.05,1.09,2.18,3.56,2.12,3.12,0.37,3.01,1.31,1.51,1,1.22,1.79,0.9,1.63,1.67,1.18,1.36,2.22,1.91,1.61,2.4,0.41,0.32,1.7,0.26,0.96,2.28,1,,,,,,,,,
May,,0.15,2.87,1.18,0.37,0.68,,,,,,,,,,,4.8,,,,,,1.34,0.48,1.32,0.24,0.36,1.47,3.13,1.25,0.54,0.73,2.14,1.84,3.53,0.55,2.22,1.66,1.82,1.17,2.05,0.81,1.28,2.17,0.88,3.55,1.84,1.12,1.26,0.19,1.04,1.69,0.76,2.82,3.25,2.82,2.71,0.97,1.21,2.01,1.8,2.13,2.84,2.56,0.32,1.13,0.99,2.47,3.21,1.08,1.9,1.88,2.76,2.29,0.37,2.27,2.9,1.22,2.41,1.65,0.82,2.17,2.46,1.97,1.37,3.56,0.52,0.8,2.78,0.52,1.6,,,,,,,,,
June,,2.72,2.87,1.56,1.9,2.53,,,,,,,,,,,0.84,,,,,,2.04,0.61,1.83,0.35,2.15,2.79,1.27,0.93,2.32,0.94,2.53,2.06,0.87,3.18,1.92,1.96,1.25,1.95,3.01,2.31,3.15,0.68,1.3,0.56,2.51,3.03,1.42,0.85,1.93,0,1.39,0.5,2.76,0.07,3.47,4.16,2.68,2.25,0.9,1.61,1.39,2.07,1.36,2.02,2.26,0.95,0.59,1.24,0.39,2.2,0.15,1.79,1.52,2,2.81,3.62,2.02,0.6,0.67,1.83,1.11,1.68,2.76,1.58,1.94,1.08,3.76,1.99,1.81,,,,,,,,,
July,,3.37,1.28,1.96,1.46,3.91,,,,,,,,,,,3.08,,,,,,2.06,4.98,5.26,2.66,1.03,0.48,0.49,0.79,1.06,1.69,1.19,3.82,0.51,0.41,0.36,1.35,3.08,2.84,2.49,0.5,1.24,3.28,1.93,4.34,0.76,2.88,3.37,1.32,4.38,0.37,3.09,2.49,3.42,4.45,1.77,1.22,2.07,1.69,2.55,3.47,2.69,1.5,1.62,0.37,3.77,1.64,1.68,3.54,2.7,3.31,2.02,2.37,2.38,4.19,1.63,1.54,1.95,0.17,2.62,2.44,0.96,3.08,4.41,0.19,2.39,4.73,2.75,2.12,4,,,,,,,,,
August,,1.44,1.62,3.54,2.02,1.37,,,,,,,,,,,1.4,,,,,,2.8,0.8,2.5,2.57,1.02,2.91,1.21,0.61,2.21,1.51,4.13,3.42,1.71,2.05,1.3,1.28,3.09,3.22,2.6,0.27,6.51,2.52,0.78,1.77,1.64,4.98,1.98,3.94,1.14,1.37,2.8,2.76,3.76,2.64,2.92,4.12,1.72,2.76,3.38,2.37,0.65,1.25,2.56,4.03,0.77,1.3,1.53,2.19,0.12,4.98,3.9,1.5,1.42,2.02,6.64,0.43,4.42,1.63,2.7,4.62,2.56,2.13,3.08,1.43,3.61,2.68,5.74,1.04,5.51,,,,,,,,,
September,,3.38,2.09,2.59,2.91,1.86,,,,,,,,,,,0.56,,,,,,2.67,3.61,2.51,0.71,6.95,2.43,0.92,3.32,0.89,1.52,0.28,2.46,1.55,2.44,1.27,0.64,1.56,3.63,0.13,1.63,2.88,1.85,1.55,2.15,1.88,1.31,5.88,1.16,2.73,0.97,1.93,2.65,3.2,2.72,0.65,5.98,0.8,0.97,2.56,1.91,2.65,3.04,1.52,7.05,2.14,2.28,2.85,0.88,2.25,0.34,2.56,1.59,2.26,2.13,3.64,2.29,1.89,1.84,3.13,2.67,3.71,4.89,2.68,2.89,3.22,3.97,4.11,0.14,4.72,,,,,,,,,
October,,1.46,5.44,5.11,4.68,4.16,,,,,,,,,,,3.94,,,,,,4.5,4.91,3.75,4.64,4.36,0.41,3.58,1.9,2.3,3.46,1.77,6.03,2.07,1.76,4.94,4.93,1.46,7.73,2.91,4.74,3.86,4.75,2.62,3.44,4.97,3.76,1.51,0.61,1.77,0.68,0.67,6,5.3,4.13,2.21,2.19,7.22,3.61,2.83,0.39,6.86,1.83,2.21,4.42,1.31,2.6,3.78,5.7,3.83,1.24,3.46,3.16,4.34,3.65,0.72,0.51,2.02,8.29,1.07,1.39,3.28,2.98,2.37,2.54,1.21,1.53,3.14,3.05,7.2,,,,,,,,,
November,,0.85,6.25,,2.42,6.23,,,,,,,,,,,4.27,,,,,,2.95,2.07,4.15,4.33,1.34,1.49,2.92,4.42,3.42,0.38,2.67,1.69,1.13,4.96,6.27,1.89,1.3,1.19,5.06,6.7,2.39,4.52,3.74,3.05,4.74,1.56,1.78,3.2,2.15,1.96,1.65,1.73,2.86,3.11,6.62,3,3.81,8.88,5.45,4.15,1.52,1.08,4.55,7.58,5.37,2.03,3.53,6.85,8.58,4.36,1.4,2.35,5.31,0.29,4.8,1.79,2.15,3.72,6.68,5.24,4.14,2.27,4.9,1.2,0.75,3.08,2.64,3.72,8.34,,,,,,,,,
December,,2.27,5.76,,2.74,0.91,,,,,,,,,,,5.39,,,,,,2.93,2.61,2.26,3.13,3.88,3.45,2.63,1.73,3.54,3.92,1.21,1.88,3.37,0.75,2.36,2.73,3.54,4.06,2.77,6.55,4.71,1.56,7.89,8.83,4.35,1.62,2.3,5.16,2.95,2.01,3.19,3.22,4.2,4.24,0.46,3.7,3.25,6.25,2.74,1.71,0.86,0.69,8.15,4.48,2.5,4.32,3.02,1.92,3,1.87,2.92,2.29,1.69,3.85,3.35,2.45,3.11,1.71,1.77,2.45,3.7,0.77,2.39,3.5,4.65,2.19,4.92,7.07,4.7,,,,,,,,,
Total,,26.11,39.54,,,29.56,32.24,36.3,31.13,,,32.8,35.97,28.7,25.69,27.1,34.09,24.07,27.79,25.11,24.56,31.91,25.92,26,33.65,24.88,25.66,26.76,19.44,23.35,25.5,19.17,20.39,30.98,23.84,23.48,29.65,22.98,23.37,31.86,30.7,29.45,35.52,32.91,32,38.33,32.05,26.34,27.16,30.26,27.62,14.42,26.54,33.91,35.46,35.51,31.32,36.11,33.68,31.85,29.89,24.72,25.48,21.56,29.94,40.27,28.84,34.86,25.99,35.42,32.66,31.86,27.55,26.58,24.61,27,35.37,26.03,29.2,25.26,29.11,37.24,29.53,24.83,31.97,23.38,25.92,28.68,39.79,27.59,46.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Only annual totals appear to have been submitted from 1876-91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
