BOTLEY-MOORHILL-SHEDFIELD,,,,,,,,,,,,,,,,,,,,
Grid ref,SU561135,Long,-1.20263,Lat,50.91854,Elevation,160,ft,,,,,,,,,,,,
Station no,RR7641,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,1.63,2.88,6.4,4.28,1.77,4.67,1.23,7.5,1.63,4.45,0.9,1.99,1.39,2.85,,,,,,
February,3.01,1.62,2.3,2.52,2.15,2.87,3.26,1.37,2.92,4.92,3.72,3.21,1.65,4.34,,,,,,
March,1.06,1.54,2.56,2.15,0.55,0.88,3.77,2.94,1.45,0.67,0.97,2.84,0.74,0.95,,,,,,
April,0.33,4.6,1.31,0.83,2.95,1.09,2.84,2.77,2.82,3.55,2.41,1,3.51,1.54,,,,,,
May,1.56,0.19,2.46,1.31,2.26,1.42,0.37,2.6,3.16,2.92,0.43,1.21,1.72,2.79,,,,,,
June,0.43,3.6,3.02,1.5,2.36,3.12,1.85,0.57,1.41,5.52,1.96,2.42,2.83,2.91,,,,,,
July,0.86,5.12,2.98,2.28,1.21,4.82,0.96,3.37,1.46,3.83,4.3,1.95,3.37,4.18,,,,,,
August,1.9,1.75,1.86,2.4,1.77,1.93,3.45,2.87,4.25,6.08,2.05,4.7,2.26,1.89,,,,,,
September,2.02,6.33,1.17,3.1,3.36,1.64,4.98,1.9,1.62,4.23,4.62,2.3,2.45,5.14,,,,,,
October,3.55,1.79,5.19,3.51,5.31,5.78,1.88,3.01,2.63,1.07,4.71,1.69,6.88,3.39,,,,,,
November,1.91,0.83,4.78,2.21,3.52,4.6,4.81,6.8,2.67,0.84,2.48,4.58,3.76,4.94,,,,,,
December,3.69,2.11,5.4,0.55,2.56,1.38,7.52,1.96,1.78,0.62,4.03,3.06,2.71,1.08,,,,,,
Total,21.95,32.36,39.43,26.64,29.77,34.2,36.92,37.66,27.8,38.7,32.58,30.95,33.27,36,,,,,,
,,,,,,,,,,,,,,,,,,,,
1870 Jan Station starts,,,,,,,,,,,,,,,,,,,,
